source,state,year,county_fips,expected_records,fetched_records,retained_records,duplicate_records,invalid_date_count,invalid_geography_count,observed_min_date,observed_max_date,request_complete,coverage_valid,failure_reasons,source_url,source_checksum,unresolvable_geography_count
FARS_NHTSA,US,2013,,30202,30202,30196,0,0,0,2013-01-01,2013-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2013/National/FARS2013NationalCSV.zip,9c34182ff203b2dfc09afd1c8a54133ddac000ec16eee70cd7b810aa5e998b65,6
FARS_NHTSA,US,2014,,30056,30056,30054,0,0,0,2014-01-01,2014-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2014/National/FARS2014NationalCSV.zip,9789f29ee8d23b1d3a1f474d54f76fee51a9238fd90e19c71beb82636b472380,2
FARS_NHTSA,US,2015,,32538,32538,32535,0,0,0,2015-01-01,2015-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2015/National/FARS2015NationalCSV.zip,45f3aa0f03723c4d74c5f4b084530dd458c50354bcc5f9a8d165d36e24b12209,3
FARS_NHTSA,US,2016,,34748,34748,34743,0,0,0,2016-01-01,2016-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2016/National/FARS2016NationalCSV.zip,44a452a25cb064bf680d4851ff3ad63d7e2d13704a58a1b287b4e02a7cebff0f,5
FARS_NHTSA,US,2017,,34560,34560,34557,0,0,0,2017-01-01,2017-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2017/National/FARS2017NationalCSV.zip,1a886757b7bf611c883cc9039e0f3cf1915142dcb0e31fcbaa14c96aab2385c4,3
FARS_NHTSA,US,2018,,33919,33919,33914,0,0,0,2018-01-01,2018-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2018/National/FARS2018NationalCSV.zip,bd0c5473e3f0eaf44c3236000225e5ca90070884684d1b69036062b2ddbdaf2e,5
FARS_NHTSA,US,2019,,33487,33487,33483,0,0,0,2019-01-01,2019-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2019/National/FARS2019NationalCSV.zip,0974abb92cfb04fa022631a838a3f46555025f2b011ee78ecad15bcf86c60f31,4
FARS_NHTSA,US,2020,,35935,35935,35932,0,0,0,2020-01-01,2020-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2020/National/FARS2020NationalCSV.zip,b2806902b3da9b45c632499f82e1c74fd108238ae7f67e108ebf40360ee4c9c3,3
FARS_NHTSA,US,2021,,39785,39785,39785,0,0,0,2021-01-01,2021-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2021/National/FARS2021NationalCSV.zip,743c19a13884614430d295289e655c5ad32b0a025a11e5b2149dfb57acae389b,0
FARS_NHTSA,US,2022,,39422,39422,39419,0,0,0,2022-01-01,2022-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2022/National/FARS2022NationalCSV.zip,989448d7a2f3964264c96a3cdb220f6c413c782a33eb759781f520c5acb5f744,3
FARS_NHTSA,US,2023,,37769,37769,37768,0,0,0,2023-01-01,2023-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2023/National/FARS2023NationalCSV.zip,edde841eb493e55751961b36bac2d1ce8750f601cb8e6e183a525723bb62bab0,1
FARS_NHTSA,US,2024,,36297,36297,36293,0,0,0,2024-01-01,2024-12-31,True,True,,https://static.nhtsa.gov/nhtsa/downloads/FARS/2024/National/FARS2024NationalCSV.zip,5112727a8c0dc91ffee27ca05bddb073934f2d192ce4fae997da767dccdbe04f,4
FARS_NHTSA_POLICY,09,2013,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2014,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2015,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2016,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2017,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2018,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2019,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2020,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2021,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2022,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2023,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
FARS_NHTSA_POLICY,09,2024,,0,0,0,0,0,0,,,True,False,connecticut_excluded_from_longitudinal_panel,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/connecticut.html,,0
