source,state,year,county_fips,expected_records,fetched_records,retained_records,duplicate_records,invalid_date_count,invalid_geography_count,observed_min_date,observed_max_date,request_complete,coverage_valid,failure_reasons,source_url,source_checksum,unresolvable_geography_count,unresolvable_date_count
IA_DOT,19,2015,,54847,54847,54847,0,0,0,2015-01-01,2015-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,0,0
IA_DOT,19,2016,,56069,56069,55849,0,0,0,2016-01-01,2016-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,220,0
IA_DOT,19,2017,,55998,55998,55834,0,0,0,2017-01-01,2017-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,164,0
IA_DOT,19,2018,,56895,56895,56780,0,0,0,2018-01-01,2018-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,115,0
IA_DOT,19,2019,,58565,58565,58438,0,0,0,2019-01-01,2019-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,127,0
IA_DOT,19,2020,,47894,47894,47727,0,0,0,2020-01-01,2020-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,167,0
IA_DOT,19,2021,,54624,54624,54512,0,0,0,2021-01-01,2021-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,112,0
IA_DOT,19,2022,,53706,53706,53661,0,0,0,2022-01-01,2022-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,45,0
IA_DOT,19,2023,,52870,52870,52842,0,0,0,2023-01-01,2023-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,28,0
IA_DOT,19,2024,,53342,53342,53299,0,0,0,2024-01-01,2024-12-31,True,True,,Iowa DOT SOR crash download,39fea6b9667da2c731e25d3b444f9046b136208808847661138815f062418a64,43,0
