source,state,year,county_fips,expected_records,fetched_records,retained_records,duplicate_records,invalid_date_count,invalid_geography_count,observed_min_date,observed_max_date,request_complete,coverage_valid,failure_reasons,source_url,source_checksum,unresolvable_geography_count,unresolvable_date_count
WI_COMMUNITY_MAPS,55,2013,55001,424,424,424,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55003,340,340,340,0,0,0,2013-01-02,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55005,979,979,979,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55007,372,372,372,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55009,3998,3998,3998,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55011,229,229,229,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55013,269,269,269,0,0,0,2013-01-01,2013-12-28,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55015,804,804,804,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55017,1432,1432,1432,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55019,684,684,684,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55021,1618,1618,1618,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55023,434,434,434,0,0,0,2013-01-02,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55025,11263,11263,11263,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55027,1672,1672,1672,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55029,960,960,960,0,0,0,2013-01-02,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55031,931,931,931,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55033,1027,1027,1027,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55035,2823,2823,2823,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55037,106,106,106,0,0,0,2013-01-01,2013-12-24,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55039,2575,2575,2575,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55041,270,270,270,0,0,0,2013-01-02,2013-12-29,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55043,1241,1241,1241,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55045,918,918,918,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55047,574,574,574,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55049,443,443,443,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55051,65,65,65,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55053,645,645,645,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55055,1648,1648,1648,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55057,825,825,825,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55059,3796,3796,3796,0,0,0,2013-01-01,2013-12-31,True,True,,Wisconsin Community Maps county-year API,,0,0
WI_COMMUNITY_MAPS,55,2013,55061,325,325,325,0,0,0,2013-01-01,2013-12-29,True,True,,Wisconsin Community Maps county-year API,,0,0
