alert_id,msg_type
ec2c5a06-b60b-4f40-a60c-5f8ff281ff28,Alert
9a50ed7a-fbd1-40a1-a8c2-1b36955c0775,Cancel
c69fa707-9d1c-4d55-9a0d-25e163bd460e,Alert
a29a5126-3c8f-45d0-ba35-54bed253081f,Alert
9c1e4f49-f1fc-489a-bc63-138da9fbd6b6,Alert
0a9ea82d-75c2-464a-a180-81344b68e9ba,Cancel
01334cda-da5d-4ea5-8272-d5f4e7604d60,Alert
013d11e7-7f1b-4924-9fa7-f024c57e8ab4,Update
9ba9d118-5827-4fbb-9855-dcc68ff7201f,Cancel
5aeb018c-1653-480b-b0e3-8ccc8f4bea63,Update
e57e9396-79c7-44af-b809-b7316475ce22,Cancel
c3c5e463-3775-4bf8-9a40-fedefde4d44d,Alert
59363e27-e6e3-4f7f-b4ee-5773eecffe5c,Cancel
49e0dbc0-9ef9-4279-8771-2ef056fef136,Update
354ac317-6065-4d0f-98fb-56c7c56c3af0,Cancel
04e11c7a-39ca-428a-9393-caace05cbd71,Alert
154d6031-8a78-4bb0-aba0-74022601d2b3,Alert
37372165-b403-48c8-9f6a-2e808b0227df,Cancel
a2efaf24-fc6b-470c-b682-f3f9de0bfbe8,Alert
93896482-5f9d-48e2-823b-29a9a7dc2cd5,Cancel
ab3d340f-88b8-4d57-913f-de9227e2ba44,Alert
abe139b3-7508-4ffc-9fe6-f2f073f80fc8,Alert
27abd8ab-421c-4482-a224-a5157fb53247,Cancel
b13a4d6c-e99d-4d60-803b-914b08b3438d,Cancel
d51f7c5c-5ba6-4452-b971-8ea053e2f100,Alert
ffc3a96f-df07-4bd7-abc5-ca0372e850ab,Cancel
a2667f8e-eeda-46ae-96fa-efed5bea0429,Cancel
720c0a5d-7795-44fc-acc9-ca77ab99114c,Update
2e07d6dd-019e-48b0-bdaf-813eff566fd8,Alert
2057a197-5fcb-4b62-b64e-da8a41369c07,Alert
05e2e939-c45d-4c0a-a802-b15f0ab81bb6,Update
decac35e-24e6-4dd8-b04c-45b6993e5e37,Alert
db96594a-0ae1-4496-a276-474be2d56405,Update
ebdf09e2-98cb-46ca-b4a2-bbc8a3a66991,Alert
17646711-8d5c-45dc-a96e-a52efaacd918,Cancel
cece1153-ba83-463a-b7bb-22d4364420ff,Alert
