alert_id,sent_utc,fips,state_fips,msg_type,event_code,event_text,matched_keyword,mentioned_age
faecb8f2-712a-4dff-8485-6c64aeaa20bd,2015-05-11 18:39:53+00:00,36103,36,Alert,LAE,Local Area Emergency,alzheimer,81
785f0f9d-2d28-44f8-8bb0-f80d41c26777,2016-01-28 03:43:24+00:00,21043,21,Alert,LAE,Local Area Emergency,alzheimer,71
d2746550-0314-4dc5-8066-f6eb9aad762d,2016-03-23 14:33:54+00:00,47045,47,Alert,CEM,Civil Emergency Message,silver alert,
85430cad-6374-4ede-9279-5691e5edf458,2016-04-24 00:50:03+00:00,55127,55,Alert,CEM,Civil Emergency Message,missing elderly,94
a134f9e9-c1a1-4de8-a0ff-56cb64f626e6,2016-06-16 16:54:44+00:00,47025,47,Alert,LAE,Endangered Missing Person,endangered missing,
a134f9e9-c1a1-4de8-a0ff-56cb64f626e6,2016-06-16 16:54:44+00:00,47173,47,Alert,LAE,Endangered Missing Person,endangered missing,
33d49363-0036-4570-8577-1ffb61e1fd4c,2016-09-14 14:27:00+00:00,21151,21,Alert,CEM,CIVIL EMERGENCY MESSAGE,golden alert,
53be5ab2-2d8e-48f7-b156-0a8ed1e8fca4,2016-12-22 15:14:00+00:00,21151,21,Alert,LAE,LOCAL AREA EMERGENCY,golden alert,78
494cbfad-b09b-49c7-893d-a97bc697f885,2017-10-26 19:34:50+00:00,36051,36,Alert,LAE,Local Area Emergency,missing endangered,
59460f06-b759-4347-a25b-7063a47a893b,2017-11-08 21:38:51+00:00,21019,21,Alert,LEW,Law Enforcement Warning,golden alert,
406bf8e3-fe3b-4a85-8cdc-7177f73ff475,2017-11-09 19:38:03+00:00,21019,21,Alert,LEW,Law Enforcement Warning,golden alert,
7f6b0f61-a2ed-4430-8a19-3e4ee3ee5612,2017-12-06 17:22:06+00:00,21043,21,Alert,LAE,Local Area Emergency,golden alert,60.0
3d80dac2-d80d-4b46-9b3c-be9580a516b4,2017-12-06 17:32:44+00:00,21043,21,Alert,LAE,Local Area Emergency,golden alert,60.0
c17c6040-84a3-462c-830f-19391591c591,2017-12-07 13:33:19+00:00,21043,21,Alert,LAE,Local Area Emergency,golden alert,
59d3df5d-6847-45e1-8773-3e2becf919ff,2018-04-01 12:20:52+00:00,47009,47,Alert,CEM,Civil Emergency Message,missing elderly,
6bfbc190-dbf9-4690-8075-0658a06cb8e8,2018-04-22 20:18:30+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,
23f8ef96-d7bf-409d-a6f2-66235b9ceae7,2018-04-22 21:07:25+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,
2b437198-6a11-4723-b146-aa3dae80880a,2018-06-23 23:55:45+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,76.0
84bbf8e6-a38d-4ab8-a2d8-40c229ac6565,2018-06-24 00:10:30+00:00,38000,38,Alert,CEM,Civil Emergency Message,missing elderly,
26276830-266e-402a-b576-5384bcc5d1e9,2018-06-24 15:14:25+00:00,38000,38,Alert,CEM,Civil Emergency Message,missing elderly,
9ee0e30c-d779-4a6c-900c-0c34a59c24c2,2018-07-07 01:38:53+00:00,17099,17,Alert,LAE,Local Area Emergency Warning,missing endangered,
d63db0fb-c00a-4cfd-9f3b-012515b090b1,2018-07-27 07:30:58+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,66.0
90e4ac02-b4af-4679-9955-9adcf01b8e22,2018-07-27 12:36:18+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,66.0
acbf64ef-ae27-415d-81b0-c83d361adf32,2018-07-27 13:12:40+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,
f819c017-6eac-43ae-bd3c-4f31e00a19a9,2018-07-28 02:44:10+00:00,21043,21,Alert,LAE,Local Area Emergency,golden alert,
7c8772e5-14b2-4d8a-aa47-7ba42bf37486,2018-07-28 12:49:54+00:00,21043,21,Alert,LAE,Local Area Emergency,golden alert,36.0
7ac313ff-3533-4982-ba84-2c144df45deb,2018-07-30 06:11:25+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,83.0
47c01fac-bca7-4213-9247-d0c9c890cdb3,2018-07-30 06:25:23+00:00,38000,38,Alert,CEM,Civil Emergency Message,silver alert,
00c525bb-b85d-4d14-950a-9e8ce45d40ef,2018-08-23 18:13:00+00:00,21151,21,Alert,LAE,LOCAL AREA EMERGENCY,golden alert,
418c7da2-60b9-4def-b17c-402afcd14796,2018-09-04 02:02:20+00:00,21043,21,Alert,LAE,Local Area Emergency,golden alert,
5355e2c8-65d5-4077-bec2-440e0564ac77,2018-09-04 20:21:58+00:00,21043,21,Alert,LAE,Local Area Emergency,golden alert,62.0
d8cc659a-6906-4bad-a77a-7b745d147a53,2018-10-16 00:34:23+00:00,32003,32,Alert,LAE,Local Area Emergency Warning,endangered missing,
ca131d17-915e-45ec-a79b-9a878d140756,2018-11-02 15:53:02+00:00,06071,06,Alert,LEW,Law Enforcement Warning,silver alert,
2326642b-b71f-4360-8ee0-398d484c1143,2018-11-02 17:53:55+00:00,06071,06,Cancel,LEW,Law Enforcement Warning,silver alert,
54b9787d-e906-45b0-a9bb-8a767ff2744c,2018-11-27 05:36:16+00:00,06065,06,Alert,LEW,Law Enforcement Warning,silver alert,
deccfde5-d71f-4e46-91cb-3c8aacf4dec4,2018-12-04 17:01:56+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
29e9e967-ddc1-4575-aacb-8c089f825c45,2018-12-10 21:38:26+00:00,48005,48,Alert,LAE,Local Area Emergency,silver alert,
ed57aae2-ce48-42b9-b985-d0ef6daf6f81,2018-12-11 21:01:50+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
be8095a6-50f6-42dc-b0ae-2129b7e07c82,2018-12-11 22:36:42+00:00,06085,06,Cancel,LEW,Law Enforcement Warning,silver alert,
37a6d9f8-f5d5-4134-b17a-173c539ab7dd,2018-12-16 03:14:23+00:00,06037,06,Alert,LEW,Law Enforcement Warning,silver alert,
70a2fc54-8220-43d5-aea1-ac1f07598bff,2018-12-16 23:44:19+00:00,06087,06,Alert,LEW,Law Enforcement Warning,silver alert,
599f43c2-d6d7-464a-810b-27f305b8a306,2019-01-03 04:31:47+00:00,06097,06,Alert,LEW,Law Enforcement Warning,silver alert,
a53b91d5-7a44-496e-b570-1ee5725ba7c6,2019-01-03 05:29:07+00:00,06097,06,Cancel,LEW,Law Enforcement Warning,silver alert,
9a87c4a3-c236-4a6e-90b4-941647ca13c3,2019-01-17 04:52:05+00:00,06081,06,Alert,LEW,Law Enforcement Warning,silver alert,
9a87c4a3-c236-4a6e-90b4-941647ca13c3,2019-01-17 04:52:05+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
25d2dcee-97e9-4d6a-b9e0-f6ce58cecd09,2019-01-17 06:00:46+00:00,06081,06,Cancel,LEW,Law Enforcement Warning,silver alert,
25d2dcee-97e9-4d6a-b9e0-f6ce58cecd09,2019-01-17 06:00:46+00:00,06085,06,Cancel,LEW,Law Enforcement Warning,silver alert,
c01e4d04-41e4-42d8-b702-3fc8e19be579,2019-02-03 03:44:47+00:00,06085,06,Alert,LEW,Law Enforcement Warning,silver alert,
5a974572-fb6a-49bb-81fc-75dc03ab6328,2019-02-11 16:34:38+00:00,06071,06,Alert,LEW,Law Enforcement Warning,silver alert,
aa4eb385-fdc3-48d3-acf3-49784bdcb9d9,2019-02-20 20:14:37+00:00,06037,06,Alert,LEW,Law Enforcement Warning,silver alert,
