year,id,sent,msgType,event_text,event_code,matched_keyword,snippet
2014,8fdb9fad-e962-4cd5-82f3-a3c6258598c2,2014-02-11T01:55:57.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11458_1</identifier><sender>amberops@ncmec.org</sender><sent>2014-02-10T20:55:57-05:00</sent><status>Actual</status><msgType>Alert</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Other</category><event>Child "
2014,df9dc444-cf03-4efe-95d0-550fcc309493,2014-02-11T03:17:24.000Z,Cancel,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11458_2</identifier><sender>amberops@ncmec.org</sender><sent>2014-02-10T22:17:24-05:00</sent><status>Actual</status><msgType>Cancel</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><references>amberops@ncmec.org,NCMEC_11458_1,2014-02-10T22:17:24-05:00"
2014,ec94066a-c7f9-4956-a00d-875a76e1f6d5,2014-05-05T21:45:13.000Z,Alert,child abduction emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.001_123_2014-05-05T17:45:13-04:00</identifier><sender>EMnet-MI.001</sender><sent>2014-05-05T17:45:13-04:00</sent><status>Actual</status><msgType>Alert</msgType><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Geo</category><event>child abduct"
2014,0605e115-6fb1-4e18-8412-a486e29eac21,2014-09-05T02:41:03.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11637_1</identifier><sender>amberops@ncmec.org</sender><sent>2014-09-04T22:41:03-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</language><category>Other</category><event>Child "
2014,1374d3d7-d933-4282-9093-b778899fc2ca,2014-09-05T05:07:27.000Z,Cancel,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>NCMEC_11637_2</identifier><sender>amberops@ncmec.org</sender><sent>2014-09-05T01:07:27-04:00</sent><status>Actual</status><msgType>Cancel</msgType><source>Open</source><scope>Public</scope><code>IPAWSv1.0</code><references>amberops@ncmec.org,NCMEC_11637_1,2014-09-05T01:07:27-04:00"
2015,f7a56785-bcd3-4f1f-9f98-20da47455a85,2015-03-28T07:04:14.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.001_181_2015-03-28T03:04:14-04:00</identifier><sender>EMnet-MI.001</sender><sent>2015-03-28T03:04:14-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>MI.001_181_2015-03-28T03:04:14-04:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US<"
2015,ae65a224-1d03-46d6-81f7-b2111d9c691d,2015-05-08T17:03:34.000Z,Alert,Law Enforcement Warning,LEW,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MSU-38561b81-bd20-410e-9962-219738c7d457</identifier><sender>Lkollmann@co.winnebago.wi.us</sender><sent>2015-05-08T11:03:34-06:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><info"
2015,1c52f976-0c25-4698-b9ad-4c767543ea15,2015-05-08T19:19:17.000Z,Alert,Law Enforcement Warning,LEW,missing person,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MSU-8af29cb2-7a4f-4b74-a417-007dfe4d559a</identifier><sender>Lkollmann@co.winnebago.wi.us</sender><sent>2015-05-08T13:19:17-06:00</sent><status>Actual</status><msgType>Alert</msgType><source>AlertSense</source><scope>Public</scope><addresses></addresses><code>IPAWSv1.0</code><info"
2015,faecb8f2-712a-4dff-8485-6c64aeaa20bd,2015-05-11T18:39:53.000Z,Alert,Local Area Emergency,LAE,alzheimer,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>f6912a75-81b6-4c8b-bc50-2a7237e472f3</identifier><sender>Bruce.Weinerg@suffolkcountyny.gov</sender><sent>2015-05-11T14:39:53-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>NY Suffolk County</source><scope>Public</scope><addresses>200162 </addresses><code>IPAWSv"
2015,59dacfbd-860e-422d-b621-9d468e4ae448,2015-08-07T10:04:44.000Z,Alert,Child Abduction Emergency,CAE,endangered missing,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><alert xmlns=""urn:oasis:names:tc:emergency:cap:1.2""><identifier>MI.001_30_2015-08-07T06:04:44-04:00</identifier><sender>EMnet-MI.001</sender><sent>2015-08-07T06:04:44-04:00</sent><status>Actual</status><msgType>Alert</msgType><source>MI.001_30_2015-08-07T06:04:44-04:00</source><scope>Public</scope><code>IPAWSv1.0</code><info><language>en-US</l"
