state,year,review_status,reason
CA,2016,accepted,"FARS person-fatality comparison: ratio=1.021, county-year Pearson=0.9999, county-date agreement=0.9915; coverage_valid, invalid_geography_count=0."
CA,2017,accepted,"FARS person-fatality comparison: ratio=1.021, county-year Pearson=0.9999, county-date agreement=0.9908; coverage_valid, invalid_geography_count=0."
CA,2018,accepted,"FARS person-fatality comparison: ratio=1.018, county-year Pearson=0.9998, county-date agreement=0.9895; coverage_valid, invalid_geography_count=0."
CA,2019,accepted,"FARS person-fatality comparison: ratio=1.018, county-year Pearson=0.9997, county-date agreement=0.9885; coverage_valid, invalid_geography_count=0."
CA,2020,accepted,"FARS person-fatality comparison: ratio=1.025, county-year Pearson=0.9998, county-date agreement=0.9878; coverage_valid, invalid_geography_count=0."
CA,2021,accepted,"FARS person-fatality comparison: ratio=1.017, county-year Pearson=0.9998, county-date agreement=0.9859; coverage_valid, invalid_geography_count=0."
CA,2022,accepted,"FARS person-fatality comparison: ratio=1.027, county-year Pearson=0.9999, county-date agreement=0.9845; coverage_valid, invalid_geography_count=0."
CA,2023,accepted,"FARS person-fatality comparison: ratio=1.024, county-year Pearson=0.9998, county-date agreement=0.9837; coverage_valid, invalid_geography_count=0."
CA,2024,accepted,"FARS person-fatality comparison: ratio=1.047, county-year Pearson=0.9999, county-date agreement=0.9847; coverage_valid, invalid_geography_count=0."
CT,2015,accepted,"FARS person-fatality comparison: ratio=0.993, county-year Pearson=0.9929, county-date agreement=0.9533; coverage_valid, invalid_geography_count=0. Restricted to 2015-2021 (pre-2022 legacy county regime; CT's 2022 planning-region reorganization is out of scope for this addition)."
CT,2016,accepted,"FARS person-fatality comparison: ratio=1.013, county-year Pearson=0.9876, county-date agreement=0.9494; coverage_valid, invalid_geography_count=0. Restricted to 2015-2021 (pre-2022 legacy county regime; CT's 2022 planning-region reorganization is out of scope for this addition)."
CT,2017,accepted,"FARS person-fatality comparison: ratio=1.000, county-year Pearson=0.9947, county-date agreement=0.9503; coverage_valid, invalid_geography_count=0. Restricted to 2015-2021 (pre-2022 legacy county regime; CT's 2022 planning-region reorganization is out of scope for this addition)."
CT,2018,accepted,"FARS person-fatality comparison: ratio=1.020, county-year Pearson=0.9998, county-date agreement=0.9506; coverage_valid, invalid_geography_count=0. Restricted to 2015-2021 (pre-2022 legacy county regime; CT's 2022 planning-region reorganization is out of scope for this addition)."
CT,2019,accepted,"FARS person-fatality comparison: ratio=1.028, county-year Pearson=0.9970, county-date agreement=0.9585; coverage_valid, invalid_geography_count=0. Restricted to 2015-2021 (pre-2022 legacy county regime; CT's 2022 planning-region reorganization is out of scope for this addition)."
CT,2020,accepted,"FARS person-fatality comparison: ratio=0.997, county-year Pearson=0.9924, county-date agreement=0.9505; coverage_valid, invalid_geography_count=0. Restricted to 2015-2021 (pre-2022 legacy county regime; CT's 2022 planning-region reorganization is out of scope for this addition)."
CT,2021,accepted,"FARS person-fatality comparison: ratio=1.017, county-year Pearson=0.9973, county-date agreement=0.9428; coverage_valid, invalid_geography_count=0. Restricted to 2015-2021 (pre-2022 legacy county regime; CT's 2022 planning-region reorganization is out of scope for this addition)."
