beta,se,pvalue,n_obs,n_treated,treatment,phase,phase_label,window,window_label
-0.014298,0.011144,0.2047,128459,126,night_alert,ALL,All night (pooled),W0_predawn,Pre-dawn    (0–5h)
0.012341,0.020758,0.5545,128459,126,night_alert,ALL,All night (pooled),W1_commute,Commute     (6–10h)
-0.009422,0.022897,0.6823,128459,126,night_alert,ALL,All night (pooled),W2_midday,Midday      (11–15h)
0.031294,0.041516,0.4541,128459,126,night_alert,ALL,All night (pooled),W3_evening,Evening     (16–22h)
-0.004451,0.022281,0.8424,128459,54,sleep_phase_joint,ph_2223,Still awake  (22–23h),W0_predawn,Pre-dawn    (0–5h)
-0.040642,0.019935,0.0461,128459,33,sleep_phase_joint,ph_0001,Light sleep  (0–1h),W0_predawn,Pre-dawn    (0–5h)
-0.024062,0.025885,0.3565,128459,45,sleep_phase_joint,ph_0203,Deep sleep   (2–3h),W0_predawn,Pre-dawn    (0–5h)
-0.030985,0.04051,0.4475,128459,13,sleep_phase_joint,ph_0405,Late/REM     (4–5h),W0_predawn,Pre-dawn    (0–5h)
0.018128,0.020614,0.3829,128459,54,sleep_phase_joint,ph_2223,Still awake  (22–23h),W1_commute,Commute     (6–10h)
-0.028512,0.043823,0.5179,128459,33,sleep_phase_joint,ph_0001,Light sleep  (0–1h),W1_commute,Commute     (6–10h)
0.085013,0.027141,0.0027,128459,45,sleep_phase_joint,ph_0203,Deep sleep   (2–3h),W1_commute,Commute     (6–10h)
-0.085353,0.052297,0.1082,128459,13,sleep_phase_joint,ph_0405,Late/REM     (4–5h),W1_commute,Commute     (6–10h)
-0.059964,0.031075,0.0586,128459,54,sleep_phase_joint,ph_2223,Still awake  (22–23h),W2_midday,Midday      (11–15h)
0.022752,0.035335,0.5222,128459,33,sleep_phase_joint,ph_0001,Light sleep  (0–1h),W2_midday,Midday      (11–15h)
0.004039,0.05188,0.9382,128459,45,sleep_phase_joint,ph_0203,Deep sleep   (2–3h),W2_midday,Midday      (11–15h)
0.043987,0.037122,0.241,128459,13,sleep_phase_joint,ph_0405,Late/REM     (4–5h),W2_midday,Midday      (11–15h)
-0.015066,0.032047,0.6401,128459,54,sleep_phase_joint,ph_2223,Still awake  (22–23h),W3_evening,Evening     (16–22h)
0.008923,0.04083,0.8278,128459,33,sleep_phase_joint,ph_0001,Light sleep  (0–1h),W3_evening,Evening     (16–22h)
0.048075,0.063923,0.4551,128459,45,sleep_phase_joint,ph_0203,Deep sleep   (2–3h),W3_evening,Evening     (16–22h)
0.091228,0.079572,0.2564,128459,13,sleep_phase_joint,ph_0405,Late/REM     (4–5h),W3_evening,Evening     (16–22h)
