record_type,status,sample,state,model,outcome,term,beta,se,pvalue,irr,pct_change,ci_low_pct,ci_high_pct,n_obs,zero_share_input,exposure_mode,cluster,input_n,fitted_n,terms_requested,terms_produced,error_reason,ci_low,ci_high
estimate,ok,day_vs_night_joint,ALL,PPML_raw_count,crashes,day_alert,0.0035411710889298696,0.012255943370741169,0.7726311136267461,1.0035474484428113,0.3547448442811296,-2.0272177385011525,2.7946188756801327,2408047.0,0.3122439055383886,log_population_offset,county+date,,,,,,,
estimate,ok,day_vs_night_joint,ALL,PPML_raw_count,crashes,night_alert,0.006319312124181131,0.019128475972920247,0.7411268242203299,1.0063393211024976,0.6339321102497575,-3.069164779589917,4.478500251671647,2408047.0,0.3122439055383886,log_population_offset,county+date,,,,,,,
estimate,ok,day_vs_night_joint,ALL,WLS_TWFE,crashes_per_100k,day_alert,-0.02566645986723734,0.06730397041920663,0.7030139942499618,,,,,2408047.0,,rate_per_100k_population_weighted,county+date,,,,,,-0.15758224188888234,0.10624932215440766
estimate,ok,day_vs_night_joint,ALL,WLS_TWFE,crashes_per_100k,night_alert,0.06556300270240452,0.105479145686821,0.534347525305914,,,,,2408047.0,,rate_per_100k_population_weighted,county+date,,,,,,-0.14117612284376463,0.2723021282485737
estimate,ok,day_vs_night_joint,ALL,PPML_raw_count,fatals,day_alert,-0.05972608448086361,0.05221687490888662,0.25270322986601035,0.9420225328387564,-5.797746716124363,-14.961931010939777,4.354022019256676,2330275.0,0.9629935901009812,log_population_offset,county+date,,,,,,,
estimate,ok,day_vs_night_joint,ALL,PPML_raw_count,fatals,night_alert,-0.01132878246703833,0.0997237597995608,0.909553588773016,0.98873514654868,-1.126485345132,-18.680744436160136,20.217183893570546,2330275.0,0.9629935901009812,log_population_offset,county+date,,,,,,,
estimate,ok,day_vs_night_joint,ALL,WLS_TWFE,fatals_per_100k,day_alert,-0.0014954313185253213,0.0016142737174268393,0.35445516378836084,,,,,2349647.0,,rate_per_100k_population_weighted,county+date,,,,,,-0.004659407804681926,0.0016685451676312839
estimate,ok,day_vs_night_joint,ALL,WLS_TWFE,fatals_per_100k,night_alert,-0.00041873339970154906,0.0027575309393864556,0.8793329139909938,,,,,2349647.0,,rate_per_100k_population_weighted,county+date,,,,,,-0.0058234940408990014,0.004986027241495904
estimate,ok,day_vs_night_joint,ALL,PPML_raw_count,serious_inj,day_alert,-0.012113873355536658,0.03948979965442183,0.7590263955888479,0.9879592042264655,-1.2040795773534452,-8.56244271168679,6.746441851913243,1502535.0,0.8834282345316148,log_population_offset,county+date,,,,,,,
estimate,ok,day_vs_night_joint,ALL,PPML_raw_count,serious_inj,night_alert,-0.25425251235394986,0.11777760165797282,0.030869491792425263,0.7754959550115402,-22.450404498845977,-38.43622838559065,-2.313656153824528,1502535.0,0.8834282345316148,log_population_offset,county+date,,,,,,,
estimate,ok,day_vs_night_joint,ALL,WLS_TWFE,serious_per_100k,day_alert,-0.0019774790216543063,0.0076812101514942745,0.7969025718255414,,,,,1502791.0,,rate_per_100k_population_weighted,county+date,,,,,,-0.017032650918583084,0.013077692875274473
estimate,ok,day_vs_night_joint,ALL,WLS_TWFE,serious_per_100k,night_alert,-0.03663539896192105,0.019594764525922643,0.061897638558600976,,,,,1502791.0,,rate_per_100k_population_weighted,county+date,,,,,,-0.07504113743272943,0.0017703395088873308
