label,N,coef,se,t,p,outcome,treat,state_fips,state_abbrev,state_name,n_treated_cd
TX Total fatals/100k,927608,-0.0007012665465085595,0.011043431889305165,-0.06350078069369812,0.9494178787641556,total_fatals_per_100k,night_alert,48,TX,Texas,1180
TX Drunk fatals/100k,927608,0.0034304421482794717,0.006324334994078258,0.5424194245705738,0.5880070606172856,drunk_fatals_per_100k,night_alert,48,TX,Texas,1180
TX Sober fatals/100k,927608,-0.004131708685529587,0.008312589069444177,-0.49704233554827393,0.6195908405161412,sober_fatals_per_100k,night_alert,48,TX,Texas,1180
MO Total fatals/100k,419980,0.02700599138667657,0.03080690525355122,0.8766213666841298,0.38253584901781634,total_fatals_per_100k,night_alert,29,MO,Missouri,109
MO Drunk fatals/100k,419980,0.008265919090518855,0.006886997357724787,1.2002210340980315,0.23254171410324687,drunk_fatals_per_100k,night_alert,29,MO,Missouri,109
MO Sober fatals/100k,419980,0.018740072298685732,0.02983476858996439,0.6281286292593999,0.5311760243565988,sober_fatals_per_100k,night_alert,29,MO,Missouri,109
GA Total fatals/100k,580668,0.06124523785205174,0.05039457381310362,1.2153141343984684,0.2260591917407151,total_fatals_per_100k,night_alert,13,GA,Georgia,323
GA Drunk fatals/100k,580668,-0.012162601854754035,0.016470935279066977,-0.738428124977916,0.46134976631710245,drunk_fatals_per_100k,night_alert,13,GA,Georgia,323
GA Sober fatals/100k,580668,0.07340783970261641,0.04783917319929837,1.5344713295273473,0.1269137459634786,sober_fatals_per_100k,night_alert,13,GA,Georgia,323
TN Total fatals/100k,346940,-0.01891914196972924,0.02409746256450118,-0.7851093001633995,0.43436381369235066,total_fatals_per_100k,night_alert,47,TN,Tennessee,626
TN Drunk fatals/100k,346940,0.002235821479211074,0.0025217558044189335,0.886613000074468,0.3775500169830499,drunk_fatals_per_100k,night_alert,47,TN,Tennessee,626
TN Sober fatals/100k,346940,-0.021154963447621765,0.02408004201360021,-0.878526849565861,0.3818980133559551,sober_fatals_per_100k,night_alert,47,TN,Tennessee,626
NC Total fatals/100k,365200,-0.022609365626092063,0.013669754927871428,-1.6539700781316535,0.10130104482507107,total_fatals_per_100k,night_alert,37,NC,North Carolina,174
NC Drunk fatals/100k,365200,-0.005695375694953558,0.007892970287365129,-0.7215757170745434,0.47225613727896265,drunk_fatals_per_100k,night_alert,37,NC,North Carolina,174
NC Sober fatals/100k,365200,-0.016913989932521478,0.011500015059894677,-1.4707798071941294,0.14452201591833758,sober_fatals_per_100k,night_alert,37,NC,North Carolina,174
MI Total fatals/100k,303116,0.020070208170867045,0.014389674125023146,1.3947646066539927,0.16685373737890075,total_fatals_per_100k,night_alert,26,MI,Michigan,357
MI Drunk fatals/100k,303116,0.007360916347186523,0.011742659476643411,0.6268525764395758,0.5324972881684731,drunk_fatals_per_100k,night_alert,26,MI,Michigan,357
MI Sober fatals/100k,303116,0.012709291825472209,0.010358292604107084,1.2269678325589055,0.22334586555985836,sober_fatals_per_100k,night_alert,26,MI,Michigan,357
OH Total fatals/100k,321376,-0.012190583739042405,0.01001137876945386,-1.2176728120843465,0.2266406692797498,total_fatals_per_100k,night_alert,39,OH,Ohio,272
OH Drunk fatals/100k,321376,-0.01581867836440918,0.00515598780001928,-3.0680209065564563,0.0028724535814548258,drunk_fatals_per_100k,night_alert,39,OH,Ohio,272
OH Sober fatals/100k,321376,0.003628094330074533,0.007387560446164052,0.49110858131230584,0.6245862505042368,sober_fatals_per_100k,night_alert,39,OH,Ohio,272
OK Total fatals/100k,281204,-0.09009493094942307,0.03517917868592807,-2.561029970420023,0.012418024323399557,total_fatals_per_100k,night_alert,40,OK,Oklahoma,490
OK Drunk fatals/100k,281204,0.0018140647624246599,0.0010692514671167492,1.6965744899245354,0.0938695913463754,drunk_fatals_per_100k,night_alert,40,OK,Oklahoma,490
OK Sober fatals/100k,281204,-0.09190899571483169,0.035479364779764086,-2.5904915796928996,0.01148380982319197,sober_fatals_per_100k,night_alert,40,OK,Oklahoma,490
WA Total fatals/100k,142428,-0.0245571038787318,0.008632622245830309,-2.844686490317964,0.007122206586675839,total_fatals_per_100k,night_alert,53,WA,Washington,43
WA Drunk fatals/100k,142428,-0.007687450752124196,0.00390983302478182,-1.966183901818461,0.05661396937765151,drunk_fatals_per_100k,night_alert,53,WA,Washington,43
WA Sober fatals/100k,142428,-0.01686965313205793,0.0069295916443332314,-2.4344368323425405,0.019722646960720125,sober_fatals_per_100k,night_alert,53,WA,Washington,43
AZ Total fatals/100k,54780,-0.0063714279500020395,0.0570689298208348,-0.11164442666096658,0.9126902246680673,total_fatals_per_100k,night_alert,04,AZ,Arizona,16
AZ Drunk fatals/100k,54780,0.026843188000692318,0.0016082342339201635,16.691093520164973,1.22877485964068e-10,drunk_fatals_per_100k,night_alert,04,AZ,Arizona,16
