record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,ok,spillover_joint,FARS_WINDOW_W0_FATALS,WLS_TWFE,w0_fatals_per_100k,,,,,,,,12593295.0,12593295.0,0.9884752957823985,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W0_FATALS,PPML_raw_count,w0_fatals,,,,,,,,12593295.0,12332190.0,0.9884752957823985,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W0_FATALS,WLS_TWFE,w0_fatals_per_100k,,,,,,,,12526681.0,12526681.0,0.9886322642047004,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W0_FATALS,PPML_raw_count,w0_fatals,,,,,,,,12526681.0,12265815.0,0.9886322642047004,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W0_SERIOUS,WLS_TWFE,w0_serious_per_100k,,,,,,,,12593295.0,12593295.0,0.9980433238481271,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W0_SERIOUS,PPML_raw_count,w0_serious,,,,,,,,12593295.0,10499324.0,0.9980433238481271,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W0_SERIOUS,WLS_TWFE,w0_serious_per_100k,,,,,,,,12526681.0,12526681.0,0.9980719553726961,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W0_SERIOUS,PPML_raw_count,w0_serious,,,,,,,,12526681.0,10397321.0,0.9980719553726961,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W1_FATALS,WLS_TWFE,w1_fatals_per_100k,,,,,,,,12593295.0,12593295.0,0.9962958860250634,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W1_FATALS,PPML_raw_count,w1_fatals,,,,,,,,12593295.0,11942541.0,0.9962958860250634,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W1_FATALS,WLS_TWFE,w1_fatals_per_100k,,,,,,,,12526681.0,12526681.0,0.996335262309306,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W1_FATALS,PPML_raw_count,w1_fatals,,,,,,,,12526681.0,11874090.0,0.996335262309306,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W1_SERIOUS,WLS_TWFE,w1_serious_per_100k,,,,,,,,12593295.0,12593295.0,0.9993632325773358,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W1_SERIOUS,PPML_raw_count,w1_serious,,,,,,,,12593295.0,7622489.0,0.9993632325773358,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W1_SERIOUS,WLS_TWFE,w1_serious_per_100k,,,,,,,,12526681.0,12526681.0,0.9993690267996767,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W1_SERIOUS,PPML_raw_count,w1_serious,,,,,,,,12526681.0,7520957.0,0.9993690267996767,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W2_FATALS,WLS_TWFE,w2_fatals_per_100k,,,,,,,,12593295.0,12593295.0,0.9928800206776701,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W2_FATALS,PPML_raw_count,w2_fatals,,,,,,,,12593295.0,12376377.0,0.9928800206776701,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W2_FATALS,WLS_TWFE,w2_fatals_per_100k,,,,,,,,12526681.0,12526681.0,0.9929508063628346,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W2_FATALS,PPML_raw_count,w2_fatals,,,,,,,,12526681.0,12309949.0,0.9929508063628346,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W2_SERIOUS,WLS_TWFE,w2_serious_per_100k,,,,,,,,12593295.0,12593295.0,0.9985475604279896,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W2_SERIOUS,PPML_raw_count,w2_serious,,,,,,,,12593295.0,10723999.0,0.9985475604279896,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W2_SERIOUS,WLS_TWFE,w2_serious_per_100k,,,,,,,,12526681.0,12526681.0,0.9985589957946562,night_alert,night_alert,,,,,,,
fit_status,ok,direct_vs_clean,FARS_WINDOW_W2_SERIOUS,PPML_raw_count,w2_serious,,,,,,,,12526681.0,10654182.0,0.9985589957946562,night_alert,night_alert,,,,,,,
fit_status,ok,spillover_joint,FARS_WINDOW_W3_FATALS,WLS_TWFE,w3_fatals_per_100k,,,,,,,,12593295.0,12593295.0,0.9935230612798318,night_alert|spillover_share_10pp,night_alert|spillover_share_10pp,,,,,,,
