record_type,status,sample,state,model,outcome,term,beta,se,pvalue,irr,pct_change,n_obs,zero_share_input,exposure_mode,cluster,window,n_treated_county_days,n_treated_with_event,treated_event_sum,raw_mean_ratio
estimate,ok,spillover_joint,FARS_SAME_DAY_00_06_FATALS,PPML_raw_count,same_day_00_06_fatals,night_alert,0.1819833250253418,0.19317618544782364,0.3461625375592554,1.199594190510364,19.9594190510364,11942541,0.9942617877211644,log_population_offset,county+date,same_day_00_06,5844,70,85.0,2.226412636966619
estimate,ok,spillover_joint,FARS_SAME_DAY_00_06_FATALS,PPML_raw_count,same_day_00_06_fatals,spillover_share_10pp,-0.017057467955001408,0.07075410314248276,0.8094923600852328,0.9830871870012984,-1.691281299870162,11942541,0.9942617877211644,log_population_offset,county+date,same_day_00_06,5844,70,85.0,2.226412636966619
estimate,ok,spillover_joint,FARS_SAME_DAY_00_06_SERIOUS,PPML_raw_count,same_day_00_06_serious,night_alert,0.5557264729083733,0.47033899700076376,0.2373864713310112,1.743206917484732,74.3206917484732,7762959,0.999011616896134,log_population_offset,county+date,same_day_00_06,5844,15,28.0,3.4042382365990806
estimate,ok,spillover_joint,FARS_SAME_DAY_00_06_SERIOUS,PPML_raw_count,same_day_00_06_serious,spillover_share_10pp,-0.010478294833022888,0.22033218570129964,0.9620694575145861,0.989576411256042,-1.042358874395799,7762959,0.999011616896134,log_population_offset,county+date,same_day_00_06,5844,15,28.0,3.4042382365990806
estimate,ok,spillover_joint,FARS_NEXT_DAY_10_12_FATALS,PPML_raw_count,next_day_10_12_fatals,night_alert,-0.3021436571630506,0.43379118849994686,0.48610407576583703,0.7392318613092297,-26.076813869077032,11220806,0.9980517410256807,log_population_offset,county+date,next_day_10_12,5844,12,12.0,0.9621755563880643
estimate,ok,spillover_joint,FARS_NEXT_DAY_10_12_FATALS,PPML_raw_count,next_day_10_12_fatals,spillover_share_10pp,-0.07123475296432923,0.20535933036785944,0.7286825391709635,0.9312432543511926,-6.8756745648807405,11220806,0.9980517410256807,log_population_offset,county+date,next_day_10_12,5844,12,12.0,0.9621755563880643
estimate,ok,spillover_joint,FARS_NEXT_DAY_10_12_SERIOUS,PPML_raw_count,next_day_10_12_serious,night_alert,0.03310074812753597,0.5618667842117847,0.9530221261277569,1.0336546727683886,3.3654672768388627,4961320,0.999630597075666,log_population_offset,county+date,next_day_10_12,5844,7,9.0,2.916382048809903
estimate,ok,spillover_joint,FARS_NEXT_DAY_10_12_SERIOUS,PPML_raw_count,next_day_10_12_serious,spillover_share_10pp,0.3455317644525114,0.2742370630636031,0.20767848497245778,1.4127409653862524,41.27409653862524,4961320,0.999630597075666,log_population_offset,county+date,next_day_10_12,5844,7,9.0,2.916382048809903
estimate,ok,spillover_joint,FARS_SAME_DAY_06_10_FATALS,PPML_raw_count,same_day_06_10_fatals,night_alert,-0.033574744794013164,0.40816338604679503,0.934441472486023,0.9669826316125597,-3.3017368387440293,11942541,0.9962967595057529,log_population_offset,county+date,same_day_06_10,5844,30,33.0,1.399166068009381
estimate,ok,spillover_joint,FARS_SAME_DAY_06_10_FATALS,PPML_raw_count,same_day_06_10_fatals,spillover_share_10pp,-0.042484667487413856,0.18164902643968933,0.8150756051041224,0.9584051601674746,-4.159483983252543,11942541,0.9962967595057529,log_population_offset,county+date,same_day_06_10,5844,30,33.0,1.399166068009381
estimate,ok,spillover_joint,FARS_SAME_DAY_06_10_SERIOUS,PPML_raw_count,same_day_06_10_serious,night_alert,-1.416524783977825,0.9283858453818974,0.1270613816776116,0.24255548661899343,-75.74445133810066,7619010,0.9993633119846712,log_population_offset,county+date,same_day_06_10,5844,2,2.0,0.3848673571466179
estimate,ok,spillover_joint,FARS_SAME_DAY_06_10_SERIOUS,PPML_raw_count,same_day_06_10_serious,spillover_share_10pp,0.050978107584883484,0.3259343524398753,0.8757129614956412,1.0522998556457632,5.229985564576323,7619010,0.9993633119846712,log_population_offset,county+date,same_day_06_10,5844,2,2.0,0.3848673571466179
estimate,ok,spillover_joint,FARS_OLD_NEXT_DAY_06_10_FATALS,PPML_raw_count,OLD_next_day_06_10_fatals,night_alert,-1.0138694887223754,0.2634706874472895,0.00011902283239662026,0.36281236153900354,-63.71876384609965,11942541,0.9962958860250634,log_population_offset,county+date,OLD_next_day_06_10,5844,25,26.0,1.102004491932922
estimate,ok,spillover_joint,FARS_OLD_NEXT_DAY_06_10_FATALS,PPML_raw_count,OLD_next_day_06_10_fatals,spillover_share_10pp,0.3235483460837092,0.1003394436356237,0.0012617612222147745,1.3820229700511244,38.20229700511244,11942541,0.9962958860250634,log_population_offset,county+date,OLD_next_day_06_10,5844,25,26.0,1.102004491932922
estimate,ok,spillover_joint,FARS_OLD_NEXT_DAY_06_10_SERIOUS,PPML_raw_count,OLD_next_day_06_10_serious,night_alert,-1.5828401601248725,0.4192068249036267,0.00015949641121171254,0.20539092590836247,-79.46090740916375,7622489,0.9993632325773358,log_population_offset,county+date,OLD_next_day_06_10,5844,3,3.0,0.577249463356543
estimate,ok,spillover_joint,FARS_OLD_NEXT_DAY_06_10_SERIOUS,PPML_raw_count,OLD_next_day_06_10_serious,spillover_share_10pp,0.2133394279661687,0.16686111071221957,0.20105735142389358,1.2378047254875808,23.78047254875808,7622489,0.9993632325773358,log_population_offset,county+date,OLD_next_day_06_10,5844,3,3.0,0.577249463356543
