record_type,status,model,outcome,term,event_hour,beta,se,pvalue,pct_change,ci_low_pct,ci_high_pct,n_obs,cluster,fe_spec,reference,test,terms,n_restrictions,wald_stat,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_m6,-6.0,-0.044310952983953565,0.07168405354867659,0.536481474267601,-4.334356395555039,-16.8739202763184,10.09679990532999,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_m5,-5.0,-0.008545187000549697,0.05159571752352831,0.8684574672471497,-0.8508780663567306,-10.387269385300756,9.700355214931356,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_m4,-4.0,0.0984928657679133,0.048773610454805334,0.04344686074847082,10.350653169460223,0.2900788444656133,21.420451506589778,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_m3,-3.0,0.019482524113234367,0.0478898613760612,0.6841406456172827,1.96735470055045,-7.168262355370169,12.002012333648704,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_m2,-2.0,0.06039920264740779,0.03972593603665675,0.1284111731672848,6.226051912571262,-1.7312026573277794,14.827640207949667,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_p0,0.0,0.053034556273374084,0.030873430146664736,0.0858320497517524,5.446608290799992,-0.7449480854656132,12.024395590540227,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_p1,1.0,-0.0340741733808591,0.0364588202722274,0.3499978734057563,-3.3500186580011526,-10.01556374521556,3.8092728275780807,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_p2,2.0,0.009040540461604851,0.05100542973172809,0.8593146710964303,0.9081529575657443,-8.691846858721885,11.517482097710463,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_p3,3.0,-0.015431786003312999,0.04349742676977105,0.722758392658575,-1.5313326125652615,-9.578375893060286,7.231854689868311,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
estimate,ok,PPML_hourly_event_study,ca_crashes,ev_p4,4.0,-0.053736797721563756,0.07092243635144004,0.44864015895228104,-5.231849438933967,-17.53075689196546,8.901234233467935,3083016.0,county+date,basic,event_hour=-1,,,,,,,,,,
