hour,total_volume,share,tercile
0,815207283,0.010620303676553344,LOW
1,568050083,0.007400405407015153,LOW
2,486695505,0.0063405396012801395,LOW
3,541869154,0.007059327226885251,LOW
4,917669753,0.011955157485568855,LOW
5,1884177674,0.024546565635211487,LOW
6,3221168191,0.04196452251478963,MID
7,4237913008,0.05521040358489491,MID
8,4197624667,0.05468553779312973,MID
9,4120409286,0.053679596345081154,MID
10,4287147252,0.055851814221759305,MID
11,4547220371,0.05923997764900925,PEAK
12,4764558625,0.06207140262048105,PEAK
13,4853650148,0.06323206328801663,PEAK
14,5112011084,0.06659792085050183,PEAK
15,5432964907,0.07077922189809165,PEAK
16,5586584261,0.07278053398656074,PEAK
17,5371570353,0.06997938997661143,PEAK
18,4383554848,0.05710778674261137,PEAK
19,3423897214,0.04460562231015415,MID
20,2772724175,0.03612231313912444,MID
21,2267332753,0.02953820810339315,MID
22,1733809242,0.022587605693967734,LOW
23,1231509654,0.01604378024930763,LOW
