variant,coef,se,pval,n_edges_lit,weight_sum
full_network: weight only (headline reference),0.030464113945710428,0.011635431002087339,0.011666275583628094,901760,5182.841518707087
full_network: weight x car_share_home,0.03535580246598621,0.012948772153158752,0.008712352171768245,901760,5182.841518707087
coverage_matched: weight only,0.030464113945710428,0.011635431002087339,0.011666275583628094,901760,5182.841518707087
coverage_matched: weight x car_share_home,0.03535580246598621,0.012948772153158752,0.008712352171768245,901760,5182.841518707087
coverage_matched: weight x dist (no car),0.0003799845961430575,6.752013344254153e-05,8.244487910147313e-07,901760,5182.841518707087
coverage_matched: weight x car_share_home x dist (full pair dosage),0.0004265297740282597,8.17289401654267e-05,3.476438510618962e-06,901760,5182.841518707087
coverage_matched: weight x car_share_DIST-ADJUSTED (NHTS),0.0329017549523204,0.012806501179719907,0.013225445828292326,901760,5182.841518707087
coverage_matched: weight x car_share_DIST-ADJUSTED x dist,0.000589236832441674,0.00014178167037131174,0.00012658126078490817,901760,5182.841518707087
coverage_matched: weight x car_share_METRO+DIST-ADJUSTED (NYC!=LA),0.03306074772366276,0.012556054395360203,0.011229202666407145,901760,5182.841518707087
coverage_matched: weight x car_share_METRO+DIST-ADJUSTED x dist,0.00047130484589101503,9.88585785539389e-05,1.650629458049835e-05,901760,5182.841518707087
coverage_matched: weight x TRUE-JOINT car_x_dist (tract-preserved LODES),0.00046305026454328296,0.0001066516515907824,6.89015170569629e-05,901760,5182.841518707087
