label,coef,se,pval,n_obs
"(1) Binary, baseline FE",0.0045280300404340595,0.003773605147376818,0.2360589405778213,7177182
"(2) Log-breadth, baseline FE",0.0014694012415072245,0.0006998638373453622,0.04105046300262667,7177182
"(3) Log-breadth + lags, baseline FE",0.0014664066409571506,0.0007017999848522605,0.04198733774352849,7172256
"(4) Log-breadth, TWFE2",0.001804502299854933,0.000914133733569447,0.05415157723592699,7172256
(5) Log-breadth + State×Year FE,0.001847954450175942,0.0008717972859278596,0.03922829074661278,7172256
"(6) Binary, WLS baseline",0.017599233721213123,0.009316819705788916,0.06494499660308212,7177182
"(7) Log-breadth, WLS baseline",0.005873216813101318,0.0021591891478769114,0.009060693618755838,7177182
"(8) Log-breadth + lags, WLS",0.005877219098959957,0.0021634472080854224,0.00914399602002608,7172256
"(9) Log-breadth, WLS TWFE2",0.006395326911447581,0.002442744417369517,0.01179478110017028,7172256
"(10) Log-breadth + State×Year, WLS",0.006328598326242825,0.0024140012714749873,0.011688733744885714,7177182
