label,treatment,coef,se,pval,n_obs
County-count breadth: baseline FE,log_breadth,0.0014694012415072245,0.0006998638373453622,0.04105046300262667,7177182
County-count breadth: + lags,log_breadth,0.0014664066409571506,0.0007017999848522605,0.04198733774352849,7172256
County-count breadth: TWFE2,log_breadth,0.001804502299854933,0.000914133733569447,0.05415157723592699,7172256
Population reached: baseline FE,log_pop_reached,0.0003018615226480476,0.0002302150951898464,0.1960231728463663,7177182
Population reached: + lags,log_pop_reached,0.00029988695838293803,0.00023136892855395405,0.20112420651613047,7172256
Population reached: TWFE2,log_pop_reached,0.00033218326598974965,0.0003073208447123435,0.2851423224457417,7172256
County-count breadth: WLS baseline,log_breadth,0.005873216813101318,0.0021591891478769114,0.009060693618755838,7177182
County-count breadth: WLS + lags,log_breadth,0.005877219098959957,0.0021634472080854224,0.00914399602002608,7172256
County-count breadth: WLS TWFE2,log_breadth,0.006395326911447581,0.002442744417369517,0.01179478110017028,7172256
Population reached: WLS baseline,log_pop_reached,0.0011879411430972262,0.0005998682774224867,0.053413176992554046,7177182
Population reached: WLS + lags,log_pop_reached,0.0011884213749867396,0.0006010005244364993,0.05375386286150584,7172256
Population reached: WLS TWFE2,log_pop_reached,0.0012888708158203365,0.00067221725084475,0.06115619785107698,7172256
