model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y,k,spec
k=-3 [count],0.00026977286464976367,0.005687287730427219,0.962356005138589,-0.011153480729438685,0.011693026458738211,7229040,51,9.178587889735468e-10,0.056547204054756925,-3,count
k=-3 [comb/100k logWLS],-0.002876426117484162,0.00462144541008168,0.5365017045258066,-0.012158872406979958,0.006406020172011635,7224672,51,1.358228296499675e-08,0.06873821398342199,-3,comb_rate_logWLS
k=-2 [count],0.0020939697648947988,0.006931134177329944,0.7638208148209554,-0.011827622944174273,0.016015562473963872,7230695,51,5.5289525846546894e-08,0.05654656986638214,-2,count
k=-2 [comb/100k logWLS],-0.009307116836308646,0.00679137026052427,0.17667347920484303,-0.02294798545673479,0.004333751784117497,7226326,51,1.4228487565937087e-07,0.06873329878848451,-2,comb_rate_logWLS
k=-1 [count],0.004416469551581118,0.003256556071674358,0.18113559056769024,-0.0021245158202474737,0.010957454923409708,7232350,51,2.4590962088844037e-07,0.05654413848887291,-1,count
k=-1 [comb/100k logWLS],-0.0018717443212286859,0.006718794064091381,0.7817135078637173,-0.015366839360987934,0.011623350718530562,7227980,51,5.743767128585375e-09,0.06872992305444144,-1,comb_rate_logWLS
k=+0 [count],0.0043757832810174535,0.00371360542286756,0.24425007705270727,-0.003083212729829984,0.01183477929186489,7234005,51,2.4134920384444314e-07,0.056542399403926316,0,count
k=+0 [comb/100k logWLS],0.017487841418435512,0.009285144682078379,0.06546599916840132,-0.0011619205399269403,0.036137603376797965,7229634,51,5.022534812493262e-07,0.06872308220297055,0,comb_rate_logWLS
k=+1 [count],-0.007239931089094047,0.004504036805360299,0.11425708240889454,-0.01628655525573768,0.0018066930775495838,7232350,51,6.607814202475026e-07,0.05654828651821331,1,count
k=+1 [comb/100k logWLS],-0.012257534116716802,0.0073924211119749585,0.10355451448190843,-0.027105648901660145,0.002590580668226542,7227980,51,2.4682619226279456e-07,0.06873138678469715,1,comb_rate_logWLS
k=+2 [count],-0.0028603532177871155,0.0034493348043610696,0.4109056771680533,-0.009788546069772837,0.004067839634198607,7230695,51,1.0315967824414685e-07,0.05654975075010078,2,count
k=+2 [comb/100k logWLS],-0.017149072852722616,0.00974649137140659,0.08460800311430965,-0.03672547690777277,0.0024273312023275345,7226326,51,4.835658907742513e-07,0.06872374051712343,2,comb_rate_logWLS
k=+3 [count],-0.0026737922272525288,0.0026848548023047573,0.3241039518400909,-0.008066481805089237,0.0027188973505841794,7229040,51,9.015890589658682e-08,0.05655301395482664,3,count
k=+3 [comb/100k logWLS],-0.020218358755093778,0.00643585881857713,0.002822753063577794,-0.03314516162934091,-0.0072915558808466455,7224672,51,6.722236781664392e-07,0.06872697415099227,3,comb_rate_logWLS
