model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y,k,split,spec
"k=-5 [count, workday]",-0.0016449509803769993,0.004592833810139776,0.721734269960658,-0.010869929180097703,0.007580027219343704,7225730,51,9.29277904626602e-08,0.05654667417686517,-5,workday,count
"k=-5 [count, weekend]",-0.0038326382477313855,0.0070665286293599095,0.5899763491291546,-0.018026178717153136,0.010360902221690364,7225730,51,9.29277904626602e-08,0.05654667417686517,-5,weekend,count
"k=-5 [comb/100k WLS, workday]",-0.019469205547738653,0.005742825027299782,0.0013712062427449247,-0.031004009085521932,-0.007934402009955373,7221364,51,5.177690513002986e-07,0.06874887686330869,-5,workday,comb_wls
"k=-5 [comb/100k WLS, weekend]",-0.012110845214802358,0.010551579286242344,0.2565233764722831,-0.033304315937238066,0.009082625507633346,7221364,51,5.177690513002986e-07,0.06874887686330869,-5,weekend,comb_wls
"k=-4 [count, workday]",-0.0020973733108293016,0.004544118235139817,0.6464002725081215,-0.01122450339848261,0.007029756776824008,7227385,51,1.5210799768627936e-06,0.05654770017094703,-4,workday,count
"k=-4 [count, weekend]",0.01370981110286117,0.007070501347170972,0.05815338645970327,-0.0004917088051197942,0.027911331010842134,7227385,51,1.5210799768627936e-06,0.05654770017094703,-4,weekend,count
"k=-4 [comb/100k WLS, workday]",-0.004802693456211564,0.006362958818908022,0.45391602755988864,-0.01758307237185117,0.007977685459428039,7223018,51,4.5928432879094316e-07,0.06874484551451837,-4,workday,comb_wls
"k=-4 [comb/100k WLS, weekend]",0.01504003725922222,0.005723363745739354,0.01138129701049807,0.003544322855850296,0.026535751662594143,7223018,51,4.5928432879094316e-07,0.06874484551451837,-4,weekend,comb_wls
"k=-3 [count, workday]",-0.0007048990260014996,0.003681837794050119,0.8489460334429966,-0.008100087876517831,0.006690289824514832,7229040,51,1.8646521107168468e-06,0.056547204054756925,-3,workday,count
"k=-3 [count, weekend]",0.002605073107626868,0.013130041652142667,0.843532301880722,-0.023767391695046818,0.028977537910300555,7229040,51,1.8646521107168468e-06,0.056547204054756925,-3,weekend,count
"k=-3 [comb/100k WLS, workday]",-0.0044871014517250596,0.005808237508230856,0.4434306815974813,-0.016153289824127566,0.007179086920677446,7224672,51,1.588586654666102e-06,0.06873821398342199,-3,workday,comb_wls
"k=-3 [comb/100k WLS, weekend]",0.0008859286809869742,0.009020416874630422,0.9221552667227934,-0.017232111827499428,0.019003969189473374,7224672,51,1.588586654666102e-06,0.06873821398342199,-3,weekend,comb_wls
"k=-2 [count, workday]",0.0010697863186379464,0.006124824670672253,0.8620490109655778,-0.01123228608366035,0.013371858720936245,7230695,51,5.8297340316260104e-06,0.05654656986638214,-2,workday,count
"k=-2 [count, weekend]",0.004492333181176915,0.01151563332202579,0.6981141408141097,-0.018637497059389146,0.027622163421742976,7230695,51,5.8297340316260104e-06,0.05654656986638214,-2,weekend,count
"k=-2 [comb/100k WLS, workday]",-0.011475179167372491,0.008088575097421342,0.16219304991128658,-0.02772156038320943,0.004771202048464448,7226326,51,2.4582335657052923e-06,0.06873329878848451,-2,workday,comb_wls
"k=-2 [comb/100k WLS, weekend]",-0.004218085784928071,0.01049144974022412,0.6893608930765589,-0.02529078275980239,0.016854611189946248,7226326,51,2.4582335657052923e-06,0.06873329878848451,-2,weekend,comb_wls
"k=-1 [count, workday]",0.0006156147400132542,0.004853087993350662,0.8995677955178253,-0.009132099370858016,0.010363328850884524,7232350,51,3.125891439026418e-06,0.05654413848887291,-1,workday,count
"k=-1 [count, weekend]",0.013735035454170638,0.007161277390784871,0.060836484438233314,-0.000648813503371478,0.028118884411712754,7232350,51,3.125891439026418e-06,0.05654413848887291,-1,weekend,count
"k=-1 [comb/100k WLS, workday]",-0.006230572444174249,0.007960369575924062,0.4374953811309,-0.022219445291586197,0.009758300403237698,7227980,51,3.664223463539784e-07,0.06872992305444144,-1,workday,comb_wls
"k=-1 [comb/100k WLS, weekend]",0.008733038267533267,0.012243982552958135,0.47900610670448,-0.015859724457613536,0.033325800992680066,7227980,51,3.664223463539784e-07,0.06872992305444144,-1,weekend,comb_wls
"k=+0 [count, workday]",0.0019616092870030316,0.003938132771046981,0.6205929764441506,-0.005948363174946002,0.009871581748952066,7234005,51,8.427702667956893e-07,0.056542399403926316,0,workday,count
"k=+0 [count, weekend]",0.010387620671485718,0.009179565854624431,0.2631997751373499,-0.008050079970949194,0.02882532131392063,7234005,51,8.427702667956893e-07,0.056542399403926316,0,weekend,count
"k=+0 [comb/100k WLS, workday]",0.010178336359852864,0.00733653701313243,0.17148842134283915,-0.004557531909138778,0.024914204628844507,7229634,51,8.442038962330756e-07,0.06872308220297055,0,workday,comb_wls
"k=+0 [comb/100k WLS, weekend]",0.03535213724279185,0.016119721701777175,0.03297930911347138,0.0029747233341589144,0.06772955115142479,7229634,51,8.442038962330756e-07,0.06872308220297055,0,weekend,comb_wls
"k=+1 [count, workday]",-0.006119064312370621,0.004852733956269695,0.21317829678681352,-0.015866067318836892,0.0036279386940956514,7232350,51,1.8596053894537334e-06,0.05654828651821331,1,workday,count
"k=+1 [count, weekend]",-0.009953541630552202,0.00596759879996717,0.10158130301542788,-0.02193981657758783,0.0020327333164834246,7232350,51,1.8596053894537334e-06,0.05654828651821331,1,weekend,count
"k=+1 [comb/100k WLS, workday]",-0.016925973743569436,0.010451914225454403,0.11164944556324631,-0.03791926130000145,0.004067313812862575,7227980,51,3.3865937520971556e-07,0.06873138678469715,1,workday,comb_wls
"k=+1 [comb/100k WLS, weekend]",-0.0008238094684113878,0.007230228691446445,0.9097419555574184,-0.015346151189188507,0.013698532252365732,7227980,51,3.3865937520971556e-07,0.06873138678469715,1,weekend,comb_wls
"k=+2 [count, workday]",-0.0021359360989543696,0.003724110746061905,0.5688482981647304,-0.009616032672429373,0.005344160474520633,7230695,51,3.4355646256756245e-06,0.05654975075010078,2,workday,count
"k=+2 [count, weekend]",-0.004550966854908229,0.007622810235132598,0.553188328107754,-0.019861831812498752,0.010759898102682295,7230695,51,3.4355646256756245e-06,0.05654975075010078,2,weekend,count
"k=+2 [comb/100k WLS, workday]",-0.016817895147879076,0.01085262493196101,0.12752985010683496,-0.038616033845181266,0.004980243549423113,7226326,51,5.397410154373006e-07,0.06872374051712343,2,workday,comb_wls
"k=+2 [comb/100k WLS, weekend]",-0.01792628887500155,0.010050856823556002,0.0805653917138848,-0.03811402893237507,0.0022614511823719693,7226326,51,5.397410154373006e-07,0.06872374051712343,2,weekend,comb_wls
"k=+3 [count, workday]",0.0005569341383085543,0.0021890763579380606,0.8002183106968368,-0.0038399551275122845,0.004953823404129393,7229040,51,1.4403269542606623e-06,0.05655301395482664,3,workday,count
"k=+3 [count, weekend]",-0.010613275842955574,0.008907943219685346,0.2391060247751695,-0.028505406366930768,0.007278854681019619,7229040,51,1.4403269542606623e-06,0.05655301395482664,3,weekend,count
"k=+3 [comb/100k WLS, workday]",-0.022695591917726042,0.003308436335909037,9.940847232656328e-09,-0.029340781867021392,-0.016050401968430692,7224672,51,7.258249693498087e-07,0.06872697415099227,3,workday,comb_wls
"k=+3 [comb/100k WLS, weekend]",-0.014121498549709252,0.016746875099893397,0.4031147829049715,-0.04775858713081348,0.019515590031394976,7224672,51,7.258249693498087e-07,0.06872697415099227,3,weekend,comb_wls
"k=+4 [count, workday]",-3.230470108138099e-05,0.004982586186974186,0.9948527348876021,-0.010040123588755768,0.009975514186593006,7227385,51,1.7000768576247438e-06,0.056557662280340676,4,workday,count
"k=+4 [count, weekend]",-0.013422776525370002,0.004135298283801477,0.002091938108871994,-0.0217287675745541,-0.005116785476185905,7227385,51,1.7000768576247438e-06,0.056557662280340676,4,weekend,count
"k=+4 [comb/100k WLS, workday]",-0.01551705475305765,0.00608043787983688,0.013814688144462602,-0.027729973662166646,-0.003304135843948652,7223018,51,5.038881040198007e-07,0.06873356763304878,4,workday,comb_wls
"k=+4 [comb/100k WLS, weekend]",-0.014492371075966903,0.003599003745401105,0.00019201256400204803,-0.02172118284327706,-0.007263559308656746,7223018,51,5.038881040198007e-07,0.06873356763304878,4,weekend,comb_wls
"k=+5 [count, workday]",0.005017603897596372,0.003206523479626247,0.12393495042790034,-0.0014228880555719652,0.01145809585076471,7225730,51,1.2450853624779157e-06,0.05656175915789823,5,workday,count
"k=+5 [count, weekend]",0.011337697441224957,0.015217320758842875,0.4597281555615866,-0.01922719083070897,0.041902585713158885,7225730,51,1.2450853624779157e-06,0.05656175915789823,5,weekend,count
"k=+5 [comb/100k WLS, workday]",-0.0034773540987269565,0.011914809424599687,0.7716077355597305,-0.027408953137450683,0.02045424493999677,7221364,51,7.490400744103454e-08,0.06873827554608698,5,workday,comb_wls
"k=+5 [comb/100k WLS, weekend]",0.0006704565247082859,0.01373103967720935,0.9612510497027662,-0.026909148337567645,0.02825006138698422,7221364,51,7.490400744103454e-08,0.06873827554608698,5,weekend,comb_wls
