model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y,k,spec
k=-5 [ctyYr+lagFat],-0.0018713652233450558,0.0036756134246078063,0.612900681661368,-0.00925405205990095,0.005511321613210838,7225730,51,2.552043334713705e-05,0.05654667417686517,-5,count_ctyYr_lagFat
k=-5 [rate ctyYr+lagFat logWLS],-0.008018169657258212,0.003963164652427503,0.048418043419331626,-0.015978420132647116,-5.79191818693061e-05,7221364,51,2.5030546345616855e-06,0.05444301574057165,-5,rate_ctyYr_lagFat_WLS
k=-4 [ctyYr+lagFat],0.0028623218690230954,0.003614814497350018,0.4321999354253182,-0.004398246728183217,0.010122890466229406,7227385,51,7.1289284889752835e-06,0.05654770017094703,-4,count_ctyYr_lagFat
k=-4 [rate ctyYr+lagFat logWLS],0.0045973614060729525,0.004447274973892261,0.3062282603007849,-0.0043352532667560225,0.013529976078901928,7223018,51,1.00264885660728e-06,0.05444014641075333,-4,rate_ctyYr_lagFat_WLS
k=-3 [ctyYr+lagFat],0.0006088592724078321,0.004458358215502084,0.8919224104057413,-0.008346016746348167,0.009563735291163831,7229040,51,8.692979295510384e-06,0.056547204054756925,-3,count_ctyYr_lagFat
k=-3 [rate ctyYr+lagFat logWLS],-0.004366052498691588,0.003428643367570024,0.20876268304992254,-0.011252685376768198,0.002520580379385024,7224672,51,5.336612727613321e-06,0.054435593459541486,-3,rate_ctyYr_lagFat_WLS
k=-2 [ctyYr+lagFat],-0.00036735029978389596,0.00033357569949117003,0.2760610678703427,-0.0010373568105722709,0.00030265621100447886,7230695,51,0.9880096473596288,0.05654656986638214,-2,count_ctyYr_lagFat
k=-2 [rate ctyYr+lagFat logWLS],-0.011150782479256749,0.004789259259767017,0.02398174821063328,-0.020770292805674738,-0.001531272152838761,7226326,51,0.20443260448237732,0.054433082441820914,-2,rate_ctyYr_lagFat_WLS
k=-1 [ctyYr+lagFat],0.004757741928602406,0.0033707488025747512,0.1642961774489119,-0.00201260629341184,0.011528090150616652,7232350,51,3.450935561222224e-05,0.05654413848887291,-1,count_ctyYr_lagFat
k=-1 [rate ctyYr+lagFat logWLS],0.0021837707982921223,0.005460862652111779,0.6909372839366156,-0.008784694641537721,0.013152236238121964,7227980,51,8.298938272144341e-07,0.054430835509218824,-1,rate_ctyYr_lagFat_WLS
k=+0 [ctyYr+lagFat],0.004768474566029715,0.004891094347411256,0.334288347870576,-0.005055577553607689,0.014592526685667118,7232350,51,8.074066848440253e-06,0.05654828651821331,0,count_ctyYr_lagFat
k=+0 [rate ctyYr+lagFat logWLS],0.010755796642829113,0.007039918534540159,0.13285679223060934,-0.0033842958781685594,0.024895889163826783,7227980,51,2.333011191790746e-06,0.0544346088560348,0,rate_ctyYr_lagFat_WLS
k=+1 [ctyYr+lagFat],-0.006880137385977325,0.005825023020648886,0.24313704355151386,-0.018580040452298344,0.004819765680343694,7230695,51,2.7432747192857043e-05,0.05654975075010078,1,count_ctyYr_lagFat
k=+1 [rate ctyYr+lagFat logWLS],-0.006393682789800557,0.004017392459057248,0.11780032045826677,-0.014462853020324875,0.001675487440723762,7226326,51,2.9565743429049718e-06,0.054426494552931685,1,rate_ctyYr_lagFat_WLS
k=+2 [ctyYr+lagFat],-0.002452612477829968,0.0035373572123937815,0.49130086534393147,-0.009557603539538845,0.004652378583878909,7229040,51,2.0708091658327987e-05,0.05655301395482664,2,count_ctyYr_lagFat
k=+2 [rate ctyYr+lagFat logWLS],-0.009609932579944285,0.006855938454974018,0.16718381753990796,-0.023380490235684365,0.004160625075795793,7224672,51,4.791906733525586e-06,0.05443001490491113,2,rate_ctyYr_lagFat_WLS
k=+3 [ctyYr+lagFat],-0.00228643222920248,0.0031817731842365723,0.47573033856151115,-0.0086772117510387,0.004104347292633741,7227385,51,1.584773195251188e-05,0.056557662280340676,3,count_ctyYr_lagFat
k=+3 [rate ctyYr+lagFat logWLS],-0.012834496823817643,0.003519134699861153,0.000632123017477795,-0.01990288689193374,-0.005766106755701547,7223018,51,1.5081441128161899e-06,0.05443591701896014,3,rate_ctyYr_lagFat_WLS
k=+4 [ctyYr+lagFat],-0.0035522106533621522,0.0031262082121335066,0.26126124745260126,-0.009831384644167137,0.0027269633374428317,7225730,51,4.398457427390312e-06,0.05656175915789823,4,count_ctyYr_lagFat
k=+4 [rate ctyYr+lagFat logWLS],-0.009052208241037567,0.0023805310018449157,0.000390474368326816,-0.013833645476431526,-0.0042707710056436084,7221364,51,1.335825379200628e-06,0.05444081139073844,4,rate_ctyYr_lagFat_WLS
k=+5 [ctyYr+lagFat],0.007181952019481582,0.0038581576584016887,0.06855738731450088,-0.0005673857012224648,0.014931289740185628,7224075,51,1.943379509972143e-05,0.05656696532081962,5,count_ctyYr_lagFat
k=+5 [rate ctyYr+lagFat logWLS],0.0010144205438213465,0.0058647485049682455,0.8633739891562527,-0.01076527350601194,0.012794114593654631,7219710,51,5.606620503417759e-07,0.05444396862496419,5,rate_ctyYr_lagFat_WLS
