model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y,k,spec
k=-5 [count],-0.00164356749017437,0.004593822344205489,0.7220155790334538,-0.010870531219000383,0.007583396238651643,7225730,51,3.954960725582879e-08,0.05654667417686517,-5,count
k=-5 [count+TWFE2],-0.0014420775164559326,0.004465278531063378,0.7480771677489298,-0.010410853398091183,0.0075266983651793165,7225730,51,2.5494897757383228e-05,0.05654667417686517,-5,count_twfe2
k=-5 [comb/100k logWLS],-0.019464762273729116,0.005739891449643697,0.0013673208906687091,-0.03099367354738021,-0.007935851000078022,7221364,51,4.4787892794495576e-07,0.06874887686330869,-5,comb_rate_logWLS
k=-5 [comb/100k logWLS+TWFE2],-0.01787226086585599,0.004957944169130289,0.000719408148429468,-0.027830584804049468,-0.00791393692766251,7221364,51,1.7282696479492543e-06,0.06874887686330869,-5,comb_rate_logWLS_twfe2
k=-4 [count],-0.002102321412310117,0.004544708930909346,0.6456676213189004,-0.011230637947333793,0.007025995122713558,7227385,51,8.382099511150543e-07,0.05654770017094703,-4,count
k=-4 [count+TWFE2],-0.0019369963181004046,0.005442513406626364,0.723411934552067,-0.012868606213710344,0.008994613577509534,7227385,51,7.059169163659007e-06,0.05654770017094703,-4,count_twfe2
k=-4 [comb/100k logWLS],-0.004808210503767571,0.006363006192117673,0.4534039028107437,-0.01758868457129909,0.007972263563763947,7223018,51,3.515068762727225e-07,0.06874484551451837,-4,comb_rate_logWLS
k=-4 [comb/100k logWLS+TWFE2],-0.003196511283741111,0.005984660356294495,0.5956272407949619,-0.015217055375204607,0.008824032807722385,7223018,51,1.0605139086905524e-06,0.06874484551451837,-4,comb_rate_logWLS_twfe2
k=-3 [count],-0.0007058371916152451,0.0036793326847979926,0.8486457886463831,-0.00809599438211641,0.00668431999888592,7229040,51,1.8400010416419477e-06,0.056547204054756925,-3,count
k=-3 [count+TWFE2],-0.0005732700401368905,0.003037255528746544,0.8510558779801428,-0.006673777308179176,0.005527237227905396,7229040,51,8.69125495273071e-06,0.056547204054756925,-3,count_twfe2
k=-3 [comb/100k logWLS],-0.004487425762177782,0.005808619287178471,0.44342771539749665,-0.016154380960164326,0.007179529435808764,7224672,51,1.588212707237524e-06,0.06873821398342199,-3,comb_rate_logWLS
k=-3 [comb/100k logWLS+TWFE2],-0.0028914145537413914,0.005093561433275994,0.5728056598670968,-0.013122133783592902,0.007339304676110119,7224672,51,2.4772546013407393e-06,0.06873821398342199,-3,comb_rate_logWLS_twfe2
k=-2 [count],0.0010681687458795523,0.006122608878060303,0.862206114320292,-0.011229453105977488,0.013365790597736592,7230695,51,5.756441345261543e-06,0.05654656986638214,-2,count
k=-2 [count+TWFE2],-0.0005827394812271712,0.0004848160793828596,0.23503308001097273,-0.0015565212351645796,0.0003910422727102374,7230695,51,0.9880096487136159,0.05654656986638214,-2,count_twfe2
k=-2 [comb/100k logWLS],-0.011473635298811284,0.008087374628326018,0.1621873362398321,-0.027717605301508012,0.004770334703885444,7226326,51,2.4497571037285226e-06,0.06873329878848451,-2,comb_rate_logWLS
k=-2 [comb/100k logWLS+TWFE2],-0.013407810770120304,0.005863111258922342,0.026476472038555455,-0.02518421631448934,-0.001631405225751269,7226326,51,0.16827406186836857,0.06873329878848451,-2,comb_rate_logWLS_twfe2
k=-1 [count],0.0006106698837653406,0.004855033814754626,0.9004098714480587,-0.009140952524417382,0.010362292291948062,7232350,51,2.440877974296818e-06,0.05654413848887291,-1,count
k=-1 [count+TWFE2],0.000726358259775607,0.004572354313823338,0.8744201297267278,-0.00845748566100748,0.009910202180558695,7232350,51,3.422809572062313e-05,0.05654413848887291,-1,count_twfe2
k=-1 [comb/100k logWLS],-0.006233768339918042,0.007960639443395845,0.43727721429039074,-0.022223183232099496,0.009755646552263412,7227980,51,3.3009292110808275e-07,0.06872992305444144,-1,comb_rate_logWLS
k=-1 [comb/100k logWLS+TWFE2],-0.00472416786352495,0.007629386228810077,0.5385914342512272,-0.020048241093137492,0.010599905366087594,7227980,51,2.711505103780709e-07,0.06872992305444144,-1,comb_rate_logWLS_twfe2
k=+0 [count],0.001957870554452963,0.003938154188538437,0.6212593600402634,-0.005952144925793693,0.00986788603469962,7234005,51,4.510456488304726e-07,0.056542399403926316,0,count
k=+0 [count+TWFE2],0.0020784888702016064,0.004384409456256792,0.6375182854409648,-0.006727856694343715,0.010884834434746929,7232350,51,7.825698445151907e-06,0.05654828651821331,0,count_twfe2
k=+0 [comb/100k logWLS],0.010165402491099903,0.007328462125235659,0.17156001241794683,-0.0045542468882274895,0.024885051870427295,7229634,51,2.4893264027880946e-07,0.06872308220297055,0,comb_rate_logWLS
k=+0 [comb/100k logWLS+TWFE2],0.011769064314765368,0.00835006833319219,0.16488971748623849,-0.005002541522531817,0.028540670152062554,7227980,51,9.43722957336135e-07,0.06873169253455333,0,comb_rate_logWLS_twfe2
k=+1 [count],-0.006115481262198707,0.00485224148102262,0.21339651950869415,-0.015861495103019985,0.0036305325786225697,7232350,51,1.4998902053697805e-06,0.05654828651821331,1,count
k=+1 [count+TWFE2],-0.006032023979240891,0.005790159220219379,0.302528739919824,-0.017661901041526762,0.0055978530830449805,7230695,51,2.716235723254634e-05,0.05654975075010078,1,count_twfe2
k=+1 [comb/100k logWLS],-0.01692567230006943,0.010451967182092509,0.11165743255807918,-0.03791906622303945,0.004067721622900592,7227980,51,3.383360190900575e-07,0.06873138678469715,1,comb_rate_logWLS
k=+1 [comb/100k logWLS+TWFE2],-0.015412478262583282,0.009495315220191248,0.11084275252074371,-0.03448438017036746,0.0036594236452008946,7226326,51,1.2342989658131742e-06,0.06872429960529247,1,comb_rate_logWLS_twfe2
k=+2 [count],-0.0021342971788910346,0.0037241225425643587,0.5691451410548868,-0.009614417446338532,0.005345823088556462,7230695,51,3.3603516558233792e-06,0.05654975075010078,2,count
k=+2 [count+TWFE2],-0.0020411766048470453,0.004101425624082997,0.6208949805261225,-0.010279132414702498,0.006196779205008408,7229040,51,2.0669605460210683e-05,0.05655301395482664,2,count_twfe2
k=+2 [comb/100k logWLS],-0.016811332943242316,0.01084846522986172,0.127532418260763,-0.038601116632989346,0.004978450746504718,7226326,51,3.8649552613900795e-07,0.06872374051712343,2,comb_rate_logWLS
k=+2 [comb/100k logWLS+TWFE2],-0.015268156571174129,0.009981595339719923,0.13241068992802868,-0.035316780844071076,0.004780467701722817,7224672,51,1.7142038405415505e-06,0.06872624316286279,2,comb_rate_logWLS_twfe2
k=+3 [count],0.0005607568799180052,0.0021898519193353843,0.7989468801189327,-0.0038376901468144217,0.004959203906650432,7229040,51,1.031191574463186e-06,0.05655301395482664,3,count
k=+3 [count+TWFE2],0.0006450795031158992,0.002235264351814173,0.7740866626020038,-0.003844581078674459,0.005134740084906258,7227385,51,1.5785399099188524e-05,0.056557662280340676,3,count_twfe2
k=+3 [comb/100k logWLS],-0.022690421668012453,0.003304331555313276,9.694729744984338e-09,-0.029327366922839014,-0.016053476413185892,7224672,51,6.307176613207233e-07,0.06872697415099227,3,comb_rate_logWLS
k=+3 [comb/100k logWLS+TWFE2],-0.021156357153662042,0.002801242814361994,8.232046138299334e-10,-0.026782818933655604,-0.015529895373668478,7223018,51,1.4259890374068718e-06,0.06873323178664278,3,comb_rate_logWLS_twfe2
k=+4 [count],-2.7469045413978416e-05,0.004982088768908929,0.9956227777775234,-0.01003428883950087,0.009979350748672913,7227385,51,1.0455646191065426e-06,0.056557662280340676,4,count
k=+4 [count+TWFE2],1.6356335311626542e-05,0.0043614877375351135,0.9970227243545068,-0.00874394960223026,0.008776662272853512,7225730,51,4.2389290692002035e-06,0.05656175915789823,4,count_twfe2
k=+4 [comb/100k logWLS],-0.015511747640838791,0.00607936803470133,0.013829522458734405,-0.027722517702752244,-0.0033009775789253383,7223018,51,4.0370958498403553e-07,0.06873356763304878,4,comb_rate_logWLS
k=+4 [comb/100k logWLS+TWFE2],-0.01397192502361306,0.0051263998979333624,0.008826631263679142,-0.024268602250879526,-0.003675247796346594,7221364,51,1.095547928153806e-06,0.06873784786539229,4,comb_rate_logWLS_twfe2
k=+5 [count],0.005013518512893685,0.0032057341537322895,0.12414365389412182,-0.0014253880325579274,0.011452425058345296,7225730,51,7.780454708283813e-07,0.05656175915789823,5,count
k=+5 [count+TWFE2],0.0050546013327419145,0.0033073799242938117,0.13274524865122597,-0.0015884667513775463,0.011697669416861376,7224075,51,1.9011902740562192e-05,0.05656696532081962,5,count_twfe2
k=+5 [comb/100k logWLS],-0.0034775996730308048,0.01191146471037704,0.7715297662480252,-0.027402480655525262,0.02044728130946365,7221364,51,7.468958074241527e-08,0.06873827554608698,5,comb_rate_logWLS
k=+5 [comb/100k logWLS+TWFE2],-0.001951730747053303,0.010959497961527193,0.8593751805773089,-0.023964530241728465,0.020061068747621858,7219710,51,1.0736631453900358e-06,0.06874272578187278,5,comb_rate_logWLS_twfe2
