record_type,status,model,sample,specification,control,outcome,term,beta,se,pvalue,n_obs,n_counties,n_anchor_days,fe,cluster
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,binary,person_fatals,own_alert,-0.00014888865444661305,0.00021587658882366205,0.4936405735086222,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,binary,person_fatals,own_alert_x_hours_since_wake,-1.370507009339559e-07,1.98337539404857e-05,0.9945147397146861,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,binary,person_fatals,cross_spillover,0.0007885740907480162,0.0010690722424351962,0.46426038375436196,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,binary,person_fatals,cross_spillover_x_hours_since_wake,4.428839290341593e-05,8.034004227810117e-05,0.5839593816189654,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,binary,person_fatals,own_alert,-0.00015005330243256836,0.00021778396324650614,0.49407256275961275,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,binary,person_fatals,own_alert_x_hours_since_wake,-2.270300309172281e-07,1.9731109993640608e-05,0.9908663063845937,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,binary,person_fatals,cross_spillover,0.0008022618477341472,0.0010686042636748406,0.4563894050225261,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,binary,person_fatals,cross_spillover_x_hours_since_wake,4.486717237547706e-05,8.019437473247335e-05,0.5783825286714213,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,dose,person_fatals,own_alert,-0.00014690320109581083,0.00021518698034709918,0.4980259321959064,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,dose,person_fatals,own_alert_x_hours_since_wake,-1.322291169770963e-07,1.98364971506e-05,0.9947084456809123,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,dose,person_fatals,cross_spillover,0.0007852585067408726,0.0010631576706496078,0.4636673464310226,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,baseline,dose,person_fatals,cross_spillover_x_hours_since_wake,4.429080749669487e-05,8.034440414031979e-05,0.5839592964121614,3273984,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,dose,person_fatals,own_alert,-0.0001486028465879728,0.0002171231142456561,0.49693613401321857,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,dose,person_fatals,own_alert_x_hours_since_wake,-2.236612357074793e-07,1.9733015633857946e-05,0.9910027000612511,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,dose,person_fatals,cross_spillover,0.0007995585485814965,0.0010633994341857976,0.45571427777987017,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_24h_interaction,night_alert_case_crossover_24h,robust,dose,person_fatals,cross_spillover_x_hours_since_wake,4.486799163829342e-05,8.019695625846331e-05,0.578387805156646,3273984,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
