label,hour,hours_since_wake,coef,se,pval,nobs
OWN night_alert (spillover-controlled),6,0,0.001263631925893779,0.0008043059428689328,0.122470596917577,7348614
CROSS_SPILLOVER (own-controlled),6,0,-0.00581661683430741,0.003479863543736168,0.10086958129990209,7348614
OWN night_alert (spillover-controlled),7,1,-0.00048135137087306347,0.0008592279848192927,0.5778351775745767,7348614
CROSS_SPILLOVER (own-controlled),7,1,0.0024284606715539152,0.004242437965177599,0.5696018496083171,7348614
OWN night_alert (spillover-controlled),8,2,-0.00043955577960969614,0.000937063900874242,0.64105308827873,7348614
CROSS_SPILLOVER (own-controlled),8,2,0.0008318707992628136,0.0036240918008984286,0.8193863456067652,7348614
OWN night_alert (spillover-controlled),9,3,0.0005341590819203665,0.0005168191668889654,0.3063193539808582,7348614
CROSS_SPILLOVER (own-controlled),9,3,-0.00010346188541987052,0.002351157457587673,0.965075961162768,7348614
OWN night_alert (spillover-controlled),10,4,0.0017098095370145729,0.0005588305765511185,0.0035577037877057016,7348614
CROSS_SPILLOVER (own-controlled),10,4,-0.006154954502496768,0.0015192577480437174,0.00017748525892269384,7348614
OWN night_alert (spillover-controlled),11,5,-0.0014302285102598346,0.0005252321333680448,0.008883541612918933,7348614
CROSS_SPILLOVER (own-controlled),11,5,0.004076550410901519,0.0028043493758123277,0.15229089392420891,7348614
OWN night_alert (spillover-controlled),12,6,0.0007051920336430208,0.0007162106189459686,0.32955374786368274,7348614
CROSS_SPILLOVER (own-controlled),12,6,-0.0031918825067155207,0.0022205041275795913,0.1568168956615026,7348614
OWN night_alert (spillover-controlled),13,7,-0.0013251943957463272,0.0004730720739324641,0.007220394524493967,7348614
CROSS_SPILLOVER (own-controlled),13,7,0.0028706696450607125,0.0022381699944418946,0.20554766489977405,7348614
OWN night_alert (spillover-controlled),14,8,-0.0008911915964742496,0.0009759153191618352,0.36552752304501834,7348614
CROSS_SPILLOVER (own-controlled),14,8,0.007014595669962346,0.004982828920546761,0.16539108201934494,7348614
OWN night_alert (spillover-controlled),15,9,-0.0015198443902571881,0.0008924734762651536,0.09478551125516876,7348614
CROSS_SPILLOVER (own-controlled),15,9,0.00794674387626303,0.003993082545612296,0.05205863305331393,7348614
OWN night_alert (spillover-controlled),16,10,-0.0013085316777282164,0.0009042267692133836,0.15410204491439483,7348614
CROSS_SPILLOVER (own-controlled),16,10,0.004251904305346159,0.003345982686105266,0.20969873171159814,7348614
OWN night_alert (spillover-controlled),17,11,-0.0008772092390369015,0.000610739986611696,0.15714308129088916,7348614
CROSS_SPILLOVER (own-controlled),17,11,0.002650896963135473,0.0021987530061016625,0.23363230770232835,7348614
OWN night_alert (spillover-controlled),18,12,-0.000148403268315792,0.0009781061315663432,0.8800142958975767,7348614
CROSS_SPILLOVER (own-controlled),18,12,0.00387385588643262,0.0025207223849979025,0.13064599911100228,7348614
OWN night_alert (spillover-controlled),19,13,-0.0016566130937566775,0.0007014576790933129,0.02212888160560378,7348614
CROSS_SPILLOVER (own-controlled),19,13,0.006579608848563191,0.0030609005574416875,0.03645289746554958,7348614
OWN night_alert (spillover-controlled),20,14,2.9598962344728273e-05,0.0010147793492121698,0.9768468123754777,7348614
CROSS_SPILLOVER (own-controlled),20,14,0.0019866681953710106,0.00357547788720416,0.5809367918540975,7348614
OWN night_alert (spillover-controlled),21,15,0.0023812690898989326,0.001500634834479995,0.11885328612821278,7348614
CROSS_SPILLOVER (own-controlled),21,15,-0.0015566889119279787,0.0059737252504120444,0.7954794868046353,7348614
OWN night_alert (spillover-controlled),22,16,-3.705946513640038e-05,0.0008310022800677464,0.9646068796488225,7348614
CROSS_SPILLOVER (own-controlled),22,16,0.002928307581840708,0.004609350721579565,0.5281314894669606,7348614
OWN night_alert (spillover-controlled),23,17,-7.960406761025038e-06,0.001191399572753037,0.9946955146092846,7348614
CROSS_SPILLOVER (own-controlled),23,17,0.0028784718156339125,0.004358596058772023,0.5120202944009111,7348614
