check,dropped,outcome,treatment,coef,se,pval,nobs,n_nonzero_spillover,coef_shift_from_baseline
baseline (all states),,fatals_0623,cross_spillover,0.03046411377736825,0.011635430932280467,0.011666275546448945,7348614,196174,0.0
drop state 13 (18.4% of spillover mass),13,fatals_0623,cross_spillover,0.02322778481324812,0.011744754321913317,0.053599313818464056,6962998,185540,-0.007236328964120131
drop state 48 (17.1% of spillover mass),48,fatals_0623,cross_spillover,0.035482130594778324,0.01268222819464889,0.0073348605388885435,6708842,180211,0.005018016817410074
drop state 37 (15.6% of spillover mass),37,fatals_0623,cross_spillover,0.033386876567948545,0.012284039333213958,0.009057324771363895,7011200,186811,0.0029227627905802946
drop state 47 (5.3% of spillover mass),47,fatals_0623,cross_spillover,0.03574541731334983,0.01135717914242715,0.002802384608781905,7072548,188999,0.005281303535981576
drop state 39 (5.0% of spillover mass),39,fatals_0623,cross_spillover,0.02928461150029255,0.01223998832624201,0.020611150849844773,7024346,186831,-0.0011795022770757016
drop state 29 (3.7% of spillover mass),29,fatals_0623,cross_spillover,0.027855742341423226,0.011937798765665298,0.023774272422022458,7133896,191251,-0.002608371435945025
drop state 51 (3.1% of spillover mass),51,fatals_0623,cross_spillover,0.03137226553347602,0.011795575466151164,0.010540058560574828,7081312,189053,0.0009081517561077661
drop state 28 (3.1% of spillover mass),28,fatals_0623,cross_spillover,0.031511745150010255,0.011738857835877881,0.009885141603264369,7116368,192637,0.0010476313726420043
drop state 01 (2.5% of spillover mass),01,fatals_0623,cross_spillover,0.02686325015578643,0.011003654639850261,0.018292717715870932,7098840,190971,-0.00360086362158182
drop state 12 (2.5% of spillover mass),12,fatals_0623,cross_spillover,0.02902902258106382,0.011761341336934898,0.017118342575249468,7090076,186610,-0.0014350911963044305
drop state 40 (2.3% of spillover mass),40,fatals_0623,cross_spillover,0.030555530901686584,0.011900268420418445,0.013341460737405386,7168952,192529,9.141712431833329e-05
drop state 45 (2.1% of spillover mass),45,fatals_0623,cross_spillover,0.030259561690809518,0.012083857446877205,0.015653479760819655,7168952,190607,-0.0002045520865587326
drop state 18 (2.0% of spillover mass),18,fatals_0623,cross_spillover,0.03246585709636924,0.01146259113292589,0.006688201991213116,7072548,190430,0.002001743319000989
drop state 26 (1.9% of spillover mass),26,fatals_0623,cross_spillover,0.027418545741026545,0.011425878440948181,0.02025536551055085,7147042,190765,-0.003045568036341706
drop state 21 (1.6% of spillover mass),21,fatals_0623,cross_spillover,0.030723258261921696,0.011927267355640758,0.013065077616717824,7125132,191702,0.0002591444845534453
drop state 17 (1.1% of spillover mass),17,fatals_0623,cross_spillover,0.031148962515205096,0.011753830088319088,0.010803479080542688,7125132,190523,0.0006848487378368455
drop state 35 (1.1% of spillover mass),35,fatals_0623,cross_spillover,0.03018189636890501,0.012132896713927095,0.016311854548434646,7256592,193720,-0.0002822174084632402
drop state 22 (1.1% of spillover mass),22,fatals_0623,cross_spillover,0.031180442827742613,0.011763625353268881,0.010790394935539016,7133896,191473,0.0007163290503743626
drop state 55 (1.0% of spillover mass),55,fatals_0623,cross_spillover,0.029837291631168526,0.011865152296097583,0.01524508968412075,7173334,192159,-0.000626822146199725
