label,outcome,treatment,fe,coef,se,pval,nobs,exposure_spec
Combined-any -> fatals 06:00-23:59,fatals_0623,alert_last2nights_any,fips + year_str + dow + month_str,0.001164084886775521,0.0011841472591419377,0.3303122734202535,7348614,legacy_binary_or_county_share
Combined-dose -> fatals 06:00-23:59,fatals_0623,alert_last2nights_dose,fips + year_str + dow + month_str,0.0011037693122606619,0.0011874099772711641,0.35706500241710826,7348614,legacy_binary_or_county_share
Combined-any -> serious injuries,serious_0623,alert_last2nights_any,fips + year_str + dow + month_str,-9.535672414898408e-05,0.000752304395112172,0.8996443814248387,7348614,legacy_binary_or_county_share
Combined-any -> fatals 06:00-23:59,fatals_0623,alert_last2nights_any,fips_year + fips_dow + month_str,0.0012437664801609426,0.0010748262877626183,0.25269765979239,7348614,legacy_binary_or_county_share
Combined-dose -> fatals 06:00-23:59,fatals_0623,alert_last2nights_dose,fips_year + fips_dow + month_str,0.0011872984150960069,0.001085942095965482,0.27948645143258855,7348614,legacy_binary_or_county_share
Combined-any + other WEA -> fatals 06:00-23:59,fatals_0623,alert_last2nights_any,fips + year_str + dow + month_str,0.001172394306522692,0.001186393952006241,0.3278129648487518,7348614,legacy_binary_or_county_share
Combined-dose + other WEA -> fatals 06:00-23:59,fatals_0623,alert_last2nights_dose,fips + year_str + dow + month_str,0.0011120362380173266,0.0011893625767098075,0.35428983324352936,7348614,legacy_binary_or_county_share
Combined-any + other WEA -> fatals (robust),fatals_0623,alert_last2nights_any,fips_year + fips_dow + month_str,0.0012549036095961944,0.0010737799430228228,0.2480750825913005,7348614,legacy_binary_or_county_share
Combined-dose + other WEA -> fatals (robust),fatals_0623,alert_last2nights_dose,fips_year + fips_dow + month_str,0.001198369518992478,0.0010845743832882562,0.27448234766043056,7348614,legacy_binary_or_county_share
Combined-any + other WEA count -> fatals 06:00-23:59,fatals_0623,alert_last2nights_any,fips + year_str + dow + month_str,0.0011754888073576288,0.001184512910517125,0.3257898514943949,7348614,legacy_binary_or_county_share
Combined-dose + other WEA count -> fatals 06:00-23:59,fatals_0623,alert_last2nights_dose,fips + year_str + dow + month_str,0.0011151062931006376,0.0011873532611388828,0.35216717102260375,7348614,legacy_binary_or_county_share
Combined-any + other WEA count -> fatals (robust),fatals_0623,alert_last2nights_any,fips_year + fips_dow + month_str,0.001258183840348124,0.001071574384963126,0.2458991357812481,7348614,legacy_binary_or_county_share
