label,outcome,treatment,fe,coef,se,pval,nobs,include_cancel,control_columns,control_source
"OWN night_alert -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.0038398337040547376,0.0025353895345631575,0.13619691084006846,7348614,True,binary,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.02836141755178678,0.009355379876993699,0.0038483142925820335,7348614,True,binary,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; binary WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.011524091596248575,0.005809317263675977,0.05279057104526985,7348614,True,binary,all_non_amber_wea
"OWN night_alert -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.004195889893352482,0.0023815385988846913,0.08420944439910416,7348614,True,binary,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.0292398393754676,0.008537436919910744,0.0012369689790923122,7348614,True,binary,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; binary WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.010563932980049082,0.005594469172788732,0.06479696828290371,7348614,True,binary,all_non_amber_wea
"OWN night_alert -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.0038289771160008776,0.002532895625886225,0.13690539878683183,7348614,True,dose,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.028330640790384547,0.009353783192039637,0.0038782091276534647,7348614,True,dose,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; dose WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.011519513214602583,0.005812647762666859,0.053012298645287226,7348614,True,dose,all_non_amber_wea
"OWN night_alert -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.00418418422112533,0.002378011097908153,0.08460482115318535,7348614,True,dose,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.029206037715367353,0.008533066146702784,0.0012451163303881518,7348614,True,dose,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; dose WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.010558590058561319,0.005596463001057914,0.06502034950216262,7348614,True,dose,all_non_amber_wea
"OWN night_alert -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.00362743130955891,0.003643783536834574,0.3242807189353998,7348614,False,binary,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.033603466097854716,0.014466166362936241,0.0242935216356559,7348614,False,binary,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; binary WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.017227467654594427,0.006275376858651194,0.008378611101026445,7348614,False,binary,all_non_amber_wea
"OWN night_alert -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.003475851556820518,0.003144725163736272,0.2743217296947078,7348614,False,binary,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.03346071113498816,0.013064558213092402,0.013495626542240569,7348614,False,binary,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; binary WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.015854652880021407,0.006187831603459736,0.013459753698228605,7348614,False,binary,all_non_amber_wea
"OWN night_alert -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.0036104459740186508,0.003645631506174211,0.326772366973624,7348614,False,dose,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.03356307098706021,0.014465779889798466,0.024452861914914914,7348614,False,dose,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; dose WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.017220864995555005,0.0062800006267157435,0.008446860765361386,7348614,False,dose,all_non_amber_wea
"OWN night_alert -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.003457380817998195,0.0031441709137200653,0.27676582040739905,7348614,False,dose,all_non_amber_wea
"CROSS_SPILLOVER -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.03341444994223661,0.01305947072751989,0.013583020031745718,7348614,False,dose,all_non_amber_wea
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; dose WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.01584597469305854,0.006191454668461521,0.013559186806135104,7348614,False,dose,all_non_amber_wea
