label,outcome,treatment,fe,coef,se,pval,nobs,include_cancel,control_columns,control_source,sensitivity
"OWN night_alert -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.003885589353759013,0.0025434393840053676,0.1328912045521884,7348614,True,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.02836636207320303,0.00936419931929126,0.0038733899361407254,7348614,True,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; binary WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.011523131385369687,0.0058103222164115455,0.05284907016233231,7348614,True,binary,non_weather_wea,exclude_weather
"OWN night_alert -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.004221446617326021,0.002385613414543402,0.08290147000466308,7348614,True,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (with cancellations; binary WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.0292419996328823,0.00854219862936057,0.0012430785429153879,7348614,True,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; binary WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.010561920712796808,0.005595295031771929,0.06488450974960669,7348614,True,binary,non_weather_wea,exclude_weather
"OWN night_alert -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.003919245650123711,0.0025474873833252836,0.13023757682384662,7348614,True,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.0284369893118423,0.009385647164259847,0.0038668812057203183,7348614,True,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; dose WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.011558954822044002,0.0058165038450314985,0.052384429679474875,7348614,True,dose,non_weather_wea,exclude_weather
"OWN night_alert -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.0042538515764229306,0.0023918646448281536,0.08140764203120954,7348614,True,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (with cancellations; dose WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.029286992251582003,0.00856005106000313,0.001250060209894599,7348614,True,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (with cancellations; dose WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.010592679392568671,0.005599665961453462,0.06433495253890675,7348614,True,dose,non_weather_wea,exclude_weather
"OWN night_alert -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.003699679458548098,0.0036402137928847815,0.3143624082232701,7348614,False,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.03361541460490051,0.014481571318654511,0.024389463292669777,7348614,False,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; binary WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.01722840433691376,0.0062749105889879815,0.008370796946530978,7348614,False,binary,non_weather_wea,exclude_weather
"OWN night_alert -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.0035181383763630797,0.003149121118214576,0.26925658281281506,7348614,False,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (without cancellations; binary WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.03346998555482561,0.013072986680727022,0.013527913191570429,7348614,False,binary,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; binary WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.015854726371008654,0.006186953291665362,0.01344692781070278,7348614,False,binary,non_weather_wea,exclude_weather
"OWN night_alert -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,night_alert,fips + year_str + dow + month_str,-0.0037514871600132817,0.003638308633586925,0.30745244779011305,7348614,False,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,cross_spillover,fips + year_str + dow + month_str,0.03372253346284022,0.014514549983248418,0.024266767131422284,7348614,False,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; dose WEA control)",serious_0623,cross_spillover,fips + year_str + dow + month_str,0.017282783984808692,0.0062736002020105435,0.008168747339781568,7348614,False,dose,non_weather_wea,exclude_weather
"OWN night_alert -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,night_alert,fips_year + fips_dow + month_str,-0.0035701452383537858,0.0031467940310821152,0.2619805249547409,7348614,False,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> fatals, combined (without cancellations; dose WEA control)",fatals_0623,cross_spillover,fips_year + fips_dow + month_str,0.03354159777488531,0.013110656413726747,0.013593053828668156,7348614,False,dose,non_weather_wea,exclude_weather
"CROSS_SPILLOVER -> serious injuries, combined (without cancellations; dose WEA control)",serious_0623,cross_spillover,fips_year + fips_dow + month_str,0.0159020161065204,0.006183566065218284,0.01314120274864572,7348614,False,dose,non_weather_wea,exclude_weather
