label,road_type,hour,hours_since_wake,coef,se,pval,nobs
highway CROSS_SPILLOVER (own-controlled),highway,6,0,0.0015041784175556325,0.0019211041717659136,0.43733414141656124,7348614
non_highway CROSS_SPILLOVER (own-controlled),non_highway,6,0,-0.003148191390619127,0.002127024920875449,0.14512272408020488,7348614
highway CROSS_SPILLOVER (own-controlled),highway,7,1,0.0008123738099615427,0.0015100677370150114,0.5929832555898638,7348614
non_highway CROSS_SPILLOVER (own-controlled),non_highway,7,1,0.0016210279843898226,0.002983431687403616,0.5893077164372427,7348614
highway CROSS_SPILLOVER (own-controlled),highway,8,2,0.001374160783243328,0.0023339352506054623,0.5586634312522827,7348614
non_highway CROSS_SPILLOVER (own-controlled),non_highway,8,2,-0.0006931646450492983,0.0015840126490633494,0.6635604573846263,7348614
highway CROSS_SPILLOVER (own-controlled),highway,9,3,0.001688755593445897,0.0017798503428946126,0.34727638117960535,7348614
non_highway CROSS_SPILLOVER (own-controlled),non_highway,9,3,-0.002433185693820695,0.002057513307743408,0.24256654341961337,7348614
highway CROSS_SPILLOVER (own-controlled),highway,10,4,-0.0003281049493308414,0.0007380827154191586,0.6585728129420134,7348614
non_highway CROSS_SPILLOVER (own-controlled),non_highway,10,4,-0.005642801771303287,0.0014364092646376428,0.0002627424286261171,7348614
highway CROSS_SPILLOVER (own-controlled),highway,11,5,0.00027709442260627834,0.000767188090748474,0.7194852027496488,7348614
non_highway CROSS_SPILLOVER (own-controlled),non_highway,11,5,0.0018547505719918374,0.002206250766810229,0.4045297295109256,7348614
highway CROSS_SPILLOVER (own-controlled),highway,12,6,9.543307675035576e-05,0.0006703320390151775,0.8873623677564719,7348614
non_highway CROSS_SPILLOVER (own-controlled),non_highway,12,6,-0.003175020679744564,0.0021343969951485354,0.1431496039471507,7348614
