label,outcome,model,fe,coef,se,pval,nobs,pct_change
fatals: fips_hour_dow + year_month FE,person_fatals,ols,fips_hour_dow + year_month,0.00017920125163915906,0.00018941195735938023,0.34865129519796145,948487,
fatals: fips_hour_dow + year_month FE,person_fatals,ppml,fips_hour_dow + year_month,0.06103585984947317,0.0659367886353109,0.3546162990376074,43179,6.293703026567754
serious: fips_hour_dow + year_month FE,serious_inj,ols,fips_hour_dow + year_month,-0.00015405412913668218,8.636922660296821e-05,0.0805471245996876,948487,
fatals: robust FE,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.00017096814393571466,0.00019163381539640643,0.3765804899811398,948423,
serious: robust FE,serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.00015367780933533696,8.634746553803281e-05,0.08119292254631416,948423,
fatals: first-alert-hour only,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.00010730736140771689,0.0002063453710145657,0.6053323273321993,948423,
serious: first-alert-hour only,serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.0001632603600896113,8.12072980605242e-05,0.04979667642724439,948423,
"fatals: placebo (tomorrow's alert), robust FE",person_fatals,ols,fips_hour_dow + fips_year + year_month,0.00013597398557618897,0.0006895313856375555,0.844472301511171,948423,
"fatals: PEAK-hour subsample, robust FE",person_fatals,ols,fips_hour_dow + fips_year + year_month,-8.290494262052073e-05,0.0003251510188324069,0.7997893149573292,369673,
"serious: PEAK-hour subsample, robust FE",serious_inj,ols,fips_hour_dow + fips_year + year_month,-9.453455225218604e-05,0.00017232557696329921,0.5857343184746497,369673,
"fatals: MID-hour subsample, robust FE",person_fatals,ols,fips_hour_dow + fips_year + year_month,0.0004071252701465555,0.0002807217701779476,0.15335173719649076,362681,
"serious: MID-hour subsample, robust FE",serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.0002002375592067693,7.61081131088142e-05,0.011349820225056373,362681,
"fatals: LOW-hour subsample, robust FE",person_fatals,ols,fips_hour_dow + fips_year + year_month,0.0004161276939542391,0.0003940110279737191,0.29619465797006317,215978,
"serious: LOW-hour subsample, robust FE",serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.00017685790662940904,0.00011252306654562529,0.12257821568997285,215978,
fatals: weekend-matched FE,person_fatals,ols,fips_hour_weekend + fips_year + year_month,0.00022527791719532874,0.00019393475781308395,0.2509064093196107,3528497,
serious: weekend-matched FE,serious_inj,ols,fips_hour_weekend + fips_year + year_month,-0.00011884520208228593,8.677802123565318e-05,0.17695321028792677,3528497,
"fatals: placebo, weekend-matched FE",person_fatals,ols,fips_hour_weekend + fips_year + year_month,-1.7653950396653126e-05,0.00016659402334363207,0.9160302569544956,3528497,
