check,dropped,outcome,coef,se,pval,nobs,n_alert_hours,coef_shift_from_baseline
baseline (all states),,highway_fatals,-0.0001746096698242694,3.472302889604407e-05,6.732641107065618e-06,948423,106624,0.0
baseline (all states),,nonhighway_fatals,0.0003455778137673479,0.00019379755621885185,0.08062610932842884,948423,106624,0.0
drop state 48 (32.3% of alert-hours),48,highway_fatals,-0.00014661274545008416,4.5737505034427404e-05,0.002374144860494143,647125,72199,2.7996924374185236e-05
drop state 48 (32.3% of alert-hours),48,nonhighway_fatals,0.00019085761790630474,0.00022273394976497754,0.3956793361642261,647125,72199,-0.00015472019586104316
drop state 13 (11.4% of alert-hours),13,highway_fatals,-0.00017686296248701206,3.93128414762822e-05,4.208487443446707e-05,839143,94472,-2.2532926627426666e-06
drop state 13 (11.4% of alert-hours),13,nonhighway_fatals,0.00032032783574237637,0.00022114919980916907,0.15385509997251368,839143,94472,-2.524997802497153e-05
drop state 37 (9.4% of alert-hours),37,highway_fatals,-0.00016615144508558356,3.8135766651665484e-05,6.729783901615605e-05,858653,96646,8.458224738685838e-06
drop state 37 (9.4% of alert-hours),37,nonhighway_fatals,0.00041369808411564234,0.00019301023666591765,0.03707140646146123,858653,96646,6.812027034829444e-05
drop state 29 (5.3% of alert-hours),29,highway_fatals,-0.00016769397855707403,3.9434366642206615e-05,9.469123367344956e-05,897716,100979,6.915691267195365e-06
drop state 29 (5.3% of alert-hours),29,nonhighway_fatals,0.00040291201751672934,0.00018682715480443444,0.03597076970019231,897716,100979,5.733420374938144e-05
drop state 12 (5.2% of alert-hours),12,highway_fatals,-0.00018765921074036506,3.2057377977954554e-05,3.927464389263946e-07,899493,101096,-1.3049540916095664e-05
drop state 12 (5.2% of alert-hours),12,nonhighway_fatals,0.00036791782761305984,0.00019635089486792678,0.06693081935574074,899493,101096,2.2340013845711937e-05
drop state 47 (3.8% of alert-hours),47,highway_fatals,-0.00018038465738803017,3.473269176463038e-05,3.970784685058959e-06,912436,102578,-5.774987563760778e-06
drop state 47 (3.8% of alert-hours),47,nonhighway_fatals,0.00038040461295271017,0.00019274699918346173,0.05408069665367754,912436,102578,3.4826799185362265e-05
drop state 28 (3.6% of alert-hours),28,highway_fatals,-0.00018079752290238224,3.391360217886594e-05,2.462483225551537e-06,913989,102798,-6.187853078112843e-06
drop state 28 (3.6% of alert-hours),28,nonhighway_fatals,0.0003208552115736666,0.00020208952157486343,0.11878948900366249,913989,102798,-2.4722602193681285e-05
drop state 39 (3.0% of alert-hours),39,highway_fatals,-0.000180228348639778,3.3931656180249904e-05,2.636427047786327e-06,919923,103455,-5.618678815508591e-06
drop state 39 (3.0% of alert-hours),39,nonhighway_fatals,0.0003781614256673956,0.00019341790035842796,0.05628137921015086,919923,103455,3.2583611900047704e-05
drop state 40 (2.4% of alert-hours),40,highway_fatals,-0.00017552934193241904,3.516372273557828e-05,7.957473032949025e-06,925707,104077,-9.196721081496486e-07
drop state 40 (2.4% of alert-hours),40,nonhighway_fatals,0.0003498698694971956,0.0001980470184333585,0.08352383171345745,925707,104077,4.29205572984769e-06
drop state 18 (2.0% of alert-hours),18,highway_fatals,-0.00017766418326979234,3.4582876003464044e-05,4.821908704766287e-06,929703,104544,-3.0545134455229434e-06
drop state 18 (2.0% of alert-hours),18,nonhighway_fatals,0.0003756870941902417,0.00019227482462550767,0.056432704271603074,929703,104544,3.0109280422893788e-05
drop state 51 (1.8% of alert-hours),51,highway_fatals,-0.00018090811893567944,3.372731493051328e-05,2.1971423576072624e-06,931528,104740,-6.298449111410048e-06
drop state 51 (1.8% of alert-hours),51,nonhighway_fatals,0.0003503704519352419,0.00019661622445288175,0.08094613137073936,931528,104740,4.792638167894008e-06
drop state 01 (1.7% of alert-hours),01,highway_fatals,-0.00017618634259173975,3.4750333986722784e-05,6.0808871011897025e-06,931809,104778,-1.5766727674703545e-06
drop state 01 (1.7% of alert-hours),01,nonhighway_fatals,0.00032523611939423925,0.00019930392460426851,0.10912013979283142,931809,104778,-2.0341694373108654e-05
drop state 55 (1.5% of alert-hours),55,highway_fatals,-0.0001775194255299554,3.4598652554388424e-05,4.93180032745677e-06,934167,105040,-2.909755705686012e-06
drop state 55 (1.5% of alert-hours),55,nonhighway_fatals,0.00031737388938179496,0.00019789642927195178,0.11519912068714389,934167,105040,-2.820392438555294e-05
drop state 53 (1.5% of alert-hours),53,highway_fatals,-0.00017788272383442323,3.455757767608987e-05,4.656835855598729e-06,934532,105066,-3.273054010153833e-06
drop state 53 (1.5% of alert-hours),53,nonhighway_fatals,0.0002926871974791726,0.00019865181111725357,0.1470472685587776,934532,105066,-5.289061628817532e-05
drop state 08 (1.3% of alert-hours),08,highway_fatals,-0.00017517433191155827,3.5590341054270284e-05,1.0104961998047557e-05,936012,105217,-5.646620872888739e-07
drop state 08 (1.3% of alert-hours),08,nonhighway_fatals,0.00030895354441652325,0.00020012241625975573,0.12906566799485986,936012,105217,-3.662426935082465e-05
drop state 26 (1.3% of alert-hours),26,highway_fatals,-0.00016892248738676604,3.5091271570846845e-05,1.4604869943646293e-05,936238,105267,5.687182437503352e-06
drop state 26 (1.3% of alert-hours),26,nonhighway_fatals,0.0003546414684451974,0.00019632319876747802,0.07699656332657412,936238,105267,9.063654677849494e-06
drop state 35 (1.1% of alert-hours),35,highway_fatals,-0.00018323638430121637,3.254098052246645e-05,8.621759648441696e-07,938028,105469,-8.626714476946975e-06
drop state 35 (1.1% of alert-hours),35,nonhighway_fatals,0.00034967375403743546,0.00019565512897832326,0.08009220377046544,938028,105469,4.09594027008756e-06
drop state 42 (1.0% of alert-hours),42,highway_fatals,-0.00017414436391607262,3.536054637733588e-05,1.0006772140913611e-05,938848,105540,4.653059081967804e-07
drop state 42 (1.0% of alert-hours),42,nonhighway_fatals,0.00037192916040157685,0.00018965506796499322,0.0555655722927042,938848,105540,2.635134663422895e-05
drop state 22 (0.8% of alert-hours),22,highway_fatals,-0.00017321805132347872,3.409611358573006e-05,5.870521762485481e-06,940534,105742,1.3916185007906774e-06
drop state 22 (0.8% of alert-hours),22,nonhighway_fatals,0.00033473711218596526,0.00019874024924829226,0.09848526384439715,940534,105742,-1.0840701581382641e-05
drop state 17 (0.8% of alert-hours),17,highway_fatals,-0.00017015996483146857,3.5577287148339315e-05,1.622280467228343e-05,941151,105816,4.449704992800829e-06
drop state 17 (0.8% of alert-hours),17,nonhighway_fatals,0.00034861893490089956,0.00019443724858961406,0.07915231208970686,941151,105816,3.0411211335516623e-06
drop state 06 (0.7% of alert-hours),06,highway_fatals,-0.0001645556087947042,3.637551832603861e-05,3.8733909975663394e-05,941375,105831,1.00540610295652e-05
drop state 06 (0.7% of alert-hours),06,nonhighway_fatals,0.00041079182089467014,0.00017411738380811368,0.022340227436296045,941375,105831,6.521400712732224e-05
drop state 21 (0.7% of alert-hours),21,highway_fatals,-0.00017219280865531534,3.550245933704941e-05,1.290716648405521e-05,941763,105884,2.4168611689540575e-06
drop state 21 (0.7% of alert-hours),21,nonhighway_fatals,0.0003440997671615819,0.00019608458238707893,0.08553549467995647,941763,105884,-1.4780466057660283e-06
drop state 49 (0.7% of alert-hours),49,highway_fatals,-0.00017298619642280098,3.5307903751237115e-05,1.091545730358412e-05,942021,105901,1.623473401468411e-06
drop state 49 (0.7% of alert-hours),49,nonhighway_fatals,0.0003580872560660436,0.00019271444204643632,0.06916458792990854,942021,105901,1.2509442298695673e-05
drop state 05 (0.6% of alert-hours),05,highway_fatals,-0.00017610596708188717,3.4651435330376135e-05,5.831719118498668e-06,942485,105964,-1.4962972576177725e-06
drop state 05 (0.6% of alert-hours),05,nonhighway_fatals,0.0003467237948386948,0.0001952466017082858,0.0819717926377812,942485,105964,1.1459810713469135e-06
drop state 24 (0.6% of alert-hours),24,highway_fatals,-0.0001826380764592595,3.28603314198217e-05,1.1139755440314758e-06,942753,105994,-8.028406634990096e-06
