label,outcome,model,fe,coef,se,pval,nobs,pct_change,control_source,overlap_policy,control_spec,day_match
fatals: any alert hour; all_non_amber_wea; all_hours,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.00030146903564373727,0.00016501553354514664,0.07368492070092558,783949,,all_non_amber_wea,all_hours,direct+spillover,dow
serious: any alert hour; all_non_amber_wea; all_hours,serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.00014814318136683436,9.257934883942703e-05,0.11586012700986181,783949,,all_non_amber_wea,all_hours,direct+spillover,dow
fatals: first-alert hour; all_non_amber_wea; all_hours,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.0001976972245103739,0.00020084190190237036,0.3296865437641061,783949,,all_non_amber_wea,all_hours,direct+spillover,dow
serious: first-alert hour; all_non_amber_wea; all_hours,serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.0001684460194133777,9.075210210116459e-05,0.0693355356989076,783949,,all_non_amber_wea,all_hours,direct+spillover,dow
fatals: tomorrow placebo; all_non_amber_wea; all_hours,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.0005126447789046456,0.00047923220205338857,0.28988192227214826,783949,,all_non_amber_wea,all_hours,direct+spillover,dow
fatals: any alert hour; all_non_amber_wea; overlap_excluded,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.0003121178797780102,0.00016539237098774618,0.06495415496640433,783674,,all_non_amber_wea,overlap_excluded,direct+spillover,dow
serious: any alert hour; all_non_amber_wea; overlap_excluded,serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.0001466749424566528,9.124670628230766e-05,0.1142520187808409,783674,,all_non_amber_wea,overlap_excluded,direct+spillover,dow
fatals: first-alert hour; all_non_amber_wea; overlap_excluded,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.00020848489081332438,0.00020200721990362234,0.30700741585319946,783674,,all_non_amber_wea,overlap_excluded,direct+spillover,dow
serious: first-alert hour; all_non_amber_wea; overlap_excluded,serious_inj,ols,fips_hour_dow + fips_year + year_month,-0.0001669980786506253,8.946968676083741e-05,0.06783673481451191,783674,,all_non_amber_wea,overlap_excluded,direct+spillover,dow
fatals: tomorrow placebo; all_non_amber_wea; overlap_excluded,person_fatals,ols,fips_hour_dow + fips_year + year_month,0.0005136935022098207,0.00047849711573410425,0.28817562131650876,783674,,all_non_amber_wea,overlap_excluded,direct+spillover,dow
