spec,outcome,term,status,coef,se_state_date,pval_state_date,nobs,bootstrap_reps,estimator,pval_wild,inference,analysis_counties,excluded_no_self_loop_counties,exposure_spec
baseline_year_matched,fatal_crashes,own_driver_distance,ok,0.00010976038925276515,0.0005891050637800129,0.8529652694700298,7309176,9999,numpy_within_ols,0.8674,wild_webb,1668,9,year_matched_acs_and_lodes
baseline_year_matched,fatal_crashes,cross_driver_distance,ok,0.00032191170165855285,0.00013894334807918233,0.024734238846403463,7309176,9999,numpy_within_ols,0.0255,wild_webb,1668,9,year_matched_acs_and_lodes
state_month_sign_randomization,fatal_crashes,own_driver_distance,ok,0.00010976038925276515,0.0005891050637800129,0.8529652694700298,7309176,199,numpy_within_ols,0.865,state_month_sign_randomization,1668,9,year_matched_acs_and_lodes
state_month_sign_randomization,fatal_crashes,cross_driver_distance,ok,0.00032191170165855285,0.00013894334807918233,0.024734238846403463,7309176,199,numpy_within_ols,0.055,state_month_sign_randomization,1668,9,year_matched_acs_and_lodes
baseline_year_matched,total_fatals,own_driver_distance,ok,-0.0001963968996791668,0.0006426295043820392,0.7611927771072583,7309176,9999,numpy_within_ols,0.7865,wild_webb,1668,9,year_matched_acs_and_lodes
baseline_year_matched,total_fatals,cross_driver_distance,ok,0.0005595810248507989,0.0002123466249977495,0.011226070257813065,7309176,9999,numpy_within_ols,0.0181,wild_webb,1668,9,year_matched_acs_and_lodes
state_month_sign_randomization,total_fatals,own_driver_distance,ok,-0.0001963968996791668,0.0006426295043820392,0.7611927771072583,7309176,199,numpy_within_ols,0.795,state_month_sign_randomization,1668,9,year_matched_acs_and_lodes
state_month_sign_randomization,total_fatals,cross_driver_distance,ok,0.0005595810248507989,0.0002123466249977495,0.011226070257813065,7309176,199,numpy_within_ols,0.03,state_month_sign_randomization,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,own_lead_2,ok,0.00035303399704364724,0.0006456771155569032,0.5870212648301372,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,own_lead_1,ok,-4.00489940676219e-05,0.0005481384298071705,0.9420529062656369,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,own_post_0_2,ok,-0.000484024221687819,0.0005148215723399473,0.3517378738549394,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,own_post_3_5,ok,-2.969121703639191e-05,0.00022104504616955986,0.8936981514922837,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,own_post_6_8,ok,0.00011812811745131833,0.0002945468224113138,0.6901265952514315,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,own_post_9_12,ok,0.0003784582531463154,0.0003446561186034145,0.27753836964096934,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,own_post_13_18,ok,0.0001428035441063717,0.0002580545698589006,0.5825160999963395,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,cross_lead_2,ok,-3.507319233857552e-05,0.00010272011201873598,0.7342291093598673,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,cross_lead_1,ok,2.11976430427535e-05,0.00012543549300443696,0.8664983272968461,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,cross_post_0_2,ok,0.0001786410641797162,0.0001385207679085436,0.2032318478230487,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,cross_post_3_5,ok,4.5505543627908564e-05,7.38166346858251e-05,0.54043977217243,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,cross_post_6_8,ok,-4.846824524373184e-05,0.00011646293309866794,0.6791036834831252,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,cross_post_9_12,ok,-4.6436526976951274e-05,6.508946812937352e-05,0.47896640623226994,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,fatal_crashes,cross_post_13_18,ok,-6.568272307005649e-05,6.305070696886546e-05,0.30264298227201797,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,own_lead_2,ok,0.0003974184737667752,0.0006017747499408892,0.5120831483636987,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,own_lead_1,ok,-8.067876052448493e-05,0.0006600081352346725,0.9032096769649884,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,own_post_0_2,ok,-0.0008223819443846845,0.0005769549898672288,0.16038575284243184,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,own_post_3_5,ok,-6.318477031995557e-05,0.0002670328771762302,0.8139395913919847,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,own_post_6_8,ok,0.00019291128047082805,0.00032917126331476974,0.5605309522728484,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,own_post_9_12,ok,0.0006600802974780926,0.00040706645031725374,0.111316795853358,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
daily_lead_lag,total_fatals,own_post_13_18,ok,0.0002113906315501794,0.0002686317537365565,0.4351206706094757,7309176,0,numpy_within_ols,,,1668,9,year_matched_acs_and_lodes
