spec,outcome,term,status,coef,se_state_date,pval_state_date,nobs,bootstrap_reps,estimator,fixed_effects,pval_wild,inference,pval_holm,multiplicity_family,analysis_counties,excluded_no_self_loop_counties,exposure_spec
baseline_time_blocks,fatals_avg_0609,own_driver_distance,ok,5.076046282099367e-05,4.886355111915679e-05,0.30398729084631326,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.2969,wild_webb,0.6079745816926265,baseline_time_blocks:own_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_avg_0609,cross_driver_distance,ok,-9.78967946913873e-06,9.490955512335421e-06,0.3073828041001639,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.4046,wild_webb,0.651970774173367,baseline_time_blocks:cross_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_avg_1014,own_driver_distance,ok,-9.902535946162425e-05,6.463997657538682e-05,0.13196565314415398,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.1697,wild_webb,0.39589695943246195,baseline_time_blocks:own_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_avg_1014,cross_driver_distance,ok,4.0572725611116715e-05,3.246440773130772e-05,0.21732359139112234,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.3926,wild_webb,0.651970774173367,baseline_time_blocks:cross_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_avg_1519,own_driver_distance,ok,-0.00011420060535795797,0.0001299796118277449,0.3839042223698475,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.4185,wild_webb,0.6079745816926265,baseline_time_blocks:own_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_avg_1519,cross_driver_distance,ok,4.2263884726521806e-05,4.168825952183567e-05,0.3156544813882306,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.3165,wild_webb,0.651970774173367,baseline_time_blocks:cross_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_avg_2023,own_driver_distance,ok,0.00021616200588583356,6.758351823222546e-05,0.0024228020182869457,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.0209,wild_webb,0.009691208073147783,baseline_time_blocks:own_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_avg_2023,cross_driver_distance,ok,3.7134536730150844e-05,2.5356819251341e-05,0.1494498478309695,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.5005,wild_webb,0.597799391323878,baseline_time_blocks:cross_driver_distance,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_late_minus_morning,own_driver_distance,ok,0.00016540154306483998,8.136052537559426e-05,0.047494306179224975,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.1084,wild_webb,,,1668,9,year_matched_acs_and_lodes
baseline_time_blocks,fatals_late_minus_morning,cross_driver_distance,ok,4.692421619928992e-05,2.9122573269537926e-05,0.1135453837879546,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + month_id,0.4535,wild_webb,,,1668,9,year_matched_acs_and_lodes
state_date_time_blocks,fatals_avg_0609,own_driver_distance,ok,1.0477749802669553e-05,8.211904763097438e-05,0.8989939053097389,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + state_date_id,0.9067,wild_webb,0.8989939053097389,state_date_time_blocks:own_driver_distance,1668,9,year_matched_acs_and_lodes
state_date_time_blocks,fatals_avg_0609,cross_driver_distance,ok,-1.585640659426565e-05,7.253199926908758e-06,0.033613118705293765,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + state_date_id,0.1497,wild_webb,0.13445247482117506,state_date_time_blocks:cross_driver_distance,1668,9,year_matched_acs_and_lodes
state_date_time_blocks,fatals_avg_1014,own_driver_distance,ok,-0.0003077658094402087,7.316101324003053e-05,0.0001098912815949479,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + state_date_id,0.0009,wild_webb,0.0004395651263797916,state_date_time_blocks:own_driver_distance,1668,9,year_matched_acs_and_lodes
state_date_time_blocks,fatals_avg_1014,cross_driver_distance,ok,3.22301385135605e-05,4.138553530252074e-05,0.4398554343929182,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + state_date_id,0.8699,wild_webb,1.0,state_date_time_blocks:cross_driver_distance,1668,9,year_matched_acs_and_lodes
state_date_time_blocks,fatals_avg_1519,own_driver_distance,ok,-0.00045612410255464395,0.0004250427382188174,0.28847154279882936,7309176,9999,numpy_within_ols,fips_year_id + fips_dow_id + state_date_id,0.3497,wild_webb,0.8067601249038845,state_date_time_blocks:own_driver_distance,1668,9,year_matched_acs_and_lodes
