model,coef,se,pval,ci_lo,ci_hi,n_obs,n_counties,r2,mean_y,threshold,n_treated
≥0/yr [count],0.003944542850438443,0.0031321230486299058,0.20798571389519568,-0.002196675757658347,0.010085761458535233,13711827,3137,2.7036301286642583e-07,0.033057739132793904,0,9620
≥0/yr [rate/100k],-0.0023167651604850217,0.013578576610752294,0.8645342481057833,-0.0289405618819762,0.024307031561006155,13711827,3137,2.0261048394587533e-10,0.06626931439113584,0,9620
≥1/yr [count],0.004079615241809267,0.0032097630307816962,0.2038294908064452,-0.002214021510086723,0.010373251993705257,12728352,2912,2.8306953336887375e-07,0.03549595422879569,1,9387
≥1/yr [rate/100k],-0.00018612663151485015,0.013900459910426929,0.9893175927673313,-0.02744186000545618,0.02706960674242648,12728352,2912,1.3353762540191383e-12,0.06683605981630339,1,9387
≥3/yr [count],0.004749760326514777,0.0038075450695897357,0.21236079502424007,-0.0027169728060554834,0.012216493459085036,9681765,2215,3.3367661655958614e-07,0.044979815147341416,3,7863
≥3/yr [rate/100k],0.013750507403893443,0.008980606069747075,0.12587924872580644,-0.003860784824032135,0.03136179963181902,9681765,2215,2.5330548480972936e-07,0.05884434201423806,3,7863
≥5/yr [count],0.004376382497273137,0.004667323578641233,0.34855395517960963,-0.0047781066647809905,0.013530871659327263,7229634,1654,2.4147527899476273e-07,0.05656676396066523,5,6282
≥5/yr [rate/100k],0.009581928298268297,0.00739442388821883,0.19521440974857981,-0.004921495817023103,0.024085352413559698,7229634,1654,2.3772420176815245e-07,0.054427011899545664,5,6282
≥10/yr [count],0.006221196201431361,0.007365982543782516,0.39857048888514457,-0.008235590982292075,0.020677983385154797,3881448,888,3.544107954889242e-07,0.08870632815382301,10,3815
≥10/yr [rate/100k],0.008024263655289948,0.007412084030707855,0.27928372224150655,-0.006523004245889899,0.022571531556469793,3881448,888,5.104002779310335e-07,0.04555230007775646,10,3815
≥20/yr [count],0.005507104318077531,0.01385949854658753,0.6913174954310768,-0.021738636287895793,0.03275284492405085,1770255,405,1.754973490974976e-07,0.14951800729273465,20,1844
≥20/yr [rate/100k],-5.0627186186951695e-05,0.0036794911059522604,0.9890288131644293,-0.007283966826706972,0.007182712454333069,1770255,405,1.0920409021508704e-10,0.035897571353540665,20,1844
