record_type,status,model,sample,window,window_start_hour,window_end_hour,window_duration_hours,specification,outcome,term,beta,se,pvalue,n_obs,n_counties,n_anchor_days,fe,cluster
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,baseline,person_fatals,own_alert,-0.0002607800856077442,0.000256526528517894,0.3143460283154571,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,baseline,person_fatals,own_alert_x_hours_since_wake,-2.8352845837008828e-05,4.1890119116339304e-05,0.5016913112368115,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,baseline,person_fatals,cross_spillover,0.0002537114821931797,0.0007883887502052482,0.7489654171727702,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.00033492062422395345,0.00011744835056461963,0.006350178213274882,2455488,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,robust,person_fatals,own_alert,-0.00025626503086095055,0.00026389602004054844,0.33627611474762453,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,robust,person_fatals,own_alert_x_hours_since_wake,-2.835290730013975e-05,4.189022076096758e-05,0.5016914213676391,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,robust,person_fatals,cross_spillover,0.0002506575165749166,0.0008002601535357453,0.7554428812491276,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-22:00,4,22,18,robust,person_fatals,cross_spillover_x_hours_since_wake,0.0003349209357559748,0.000117448502874438,0.0063501960790652845,2455488,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,baseline,person_fatals,own_alert,-0.0002883863808475006,0.00024919999423998735,0.2527810642585542,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,baseline,person_fatals,own_alert_x_hours_since_wake,-1.864292896937233e-05,3.4745962584864776e-05,0.5940066405741131,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,baseline,person_fatals,cross_spillover,0.0003946611208344661,0.0007708366676822385,0.6109575469972293,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.00029230564426863565,7.284952927293496e-05,0.00020518342990905047,2591904,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,robust,person_fatals,own_alert,-0.0002822523910880887,0.0002572251680937307,0.27787484857951705,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,robust,person_fatals,own_alert_x_hours_since_wake,-1.864298946746702e-05,3.474607343326462e-05,0.5940066203972234,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,robust,person_fatals,cross_spillover,0.0003908797623958712,0.0007872256371970407,0.621742042117629,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-23:00,4,23,19,robust,person_fatals,cross_spillover_x_hours_since_wake,0.00029230594880796576,7.28504739770042e-05,0.00020521469539414028,2591904,1669,136416,fips_hour_dow + fips_year + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,baseline,person_fatals,own_alert,-0.0003093431045134518,0.0002376595092053099,0.19913174120358845,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,baseline,person_fatals,own_alert_x_hours_since_wake,-1.2141411807361235e-05,3.243749776764596e-05,0.7097947897449406,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,baseline,person_fatals,cross_spillover,0.0005137692781322134,0.0008006770921028516,0.5240789116394307,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
estimate,ok,OLS_TWFE_hourly_window_shift,night_alert_case_crossover_shifted_window,04:00-24:00,4,24,20,baseline,person_fatals,cross_spillover_x_hours_since_wake,0.0002629428716864177,8.387421161666137e-05,0.002902826133271974,2728320,1669,136416,fips_hour_dow + year_month,state+outcome_date
