beta,se,pvalue,n_obs,method,state,outcome,n_treated,model,irr,pct_change
-0.19036,0.187724,0.3345,1283987,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",ALL,All crashes / 100k,454,OLS,,
-0.050325,0.05087,0.3225,1283987,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",ALL,All crashes / 100k,454,Poisson,0.950921,-4.908
-0.002927,0.00183,0.1408,1283987,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",ALL,Fatalities / 100k,454,OLS,,
-0.102501,0.066949,0.1258,65654,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",ALL,Fatalities / 100k,454,Poisson,0.902577,-9.742
-0.048354,0.065174,0.4752,1283987,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",ALL,Serious inj / 100k,454,OLS,,
-0.033961,0.029697,0.2528,310829,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",ALL,Serious inj / 100k,454,Poisson,0.966609,-3.339
0.010387,0.09815,0.9187,146599,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",CA,All crashes / 100k,102,OLS,,
-0.001606,0.02964,0.9568,146599,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",CA,All crashes / 100k,102,Poisson,0.998395,-0.16
-0.00314,0.003948,0.4525,146599,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",CA,Fatalities / 100k,102,OLS,,
-0.211374,0.078516,0.0071,22667,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",CA,Fatalities / 100k,102,Poisson,0.809471,-19.053
-0.065194,0.062332,0.3304,146599,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",CA,Serious inj / 100k,102,OLS,,
-0.040382,0.033373,0.2263,123221,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",CA,Serious inj / 100k,102,Poisson,0.960423,-3.958
0.993033,0.663841,0.209,84823,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",FL,All crashes / 100k,16,OLS,,
0.090841,0.072733,0.2117,84823,"Poisson PPML (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",FL,All crashes / 100k,16,Poisson,1.095095,9.51
-0.00689,0.001598,0.0125,84823,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",FL,Fatalities / 100k,16,OLS,,
-0.027174,0.018335,0.2124,84823,"WLS TWFE (pyfixest, pop-wt, county+date FE, 2-way SE: county×year)",FL,Serious inj / 100k,16,OLS,,
