record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change
estimate,ok,spillover_joint,ALL,WLS_TWFE,crashes_per_100k,night_alert,0.062224186427090274,0.10841017752053521,0.5661019436968187,2408047.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,crashes_per_100k,spillover_share_10pp,-0.003010620983487793,0.04567007376015428,0.9474522701192942,2408047.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,ALL,PPML_raw_count,crashes,night_alert,0.009098708687334612,0.019082470965126958,0.6334975844418047,2408047.0,log_population_offset,county+date,,,0.31220071701258323,,,,1.0091402277650179,0.9140227765017883
estimate,ok,spillover_joint,ALL,PPML_raw_count,crashes,spillover_share_10pp,-0.0022409955436664413,0.008996781101550395,0.8032922531074635,2408047.0,log_population_offset,county+date,,,0.31220071701258323,,,,0.9977615136121613,-0.2238486387838745
estimate,ok,direct_vs_clean,ALL,WLS_TWFE,crashes_per_100k,night_alert,0.1565570562626755,0.1316964486917912,0.23477825915049833,2392418.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,ALL,PPML_raw_count,crashes,night_alert,0.02199022781764141,0.02078461983122739,0.29005324814741185,2392418.0,log_population_offset,county+date,,,0.3136387537629294,,,,1.0222337949665712,2.2233794966571185
estimate,ok,spillover_joint,ALL,WLS_TWFE,fatals_per_100k,night_alert,-0.003033176311803903,0.002989938749848395,0.31058982044155736,2349647.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,fatals_per_100k,spillover_share_10pp,0.0018736154437411232,0.0022608716620552303,0.4074493359982223,2349647.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,ALL,PPML_raw_count,fatals,night_alert,-0.10881340910986172,0.10998063926044978,0.32247385752647517,2330275.0,log_population_offset,county+date,,,0.9629918877176018,,,,0.8968977548363765,-10.310224516362354
estimate,ok,spillover_joint,ALL,PPML_raw_count,fatals,spillover_share_10pp,0.06511486320025907,0.06870999795027435,0.343294072873346,2330275.0,log_population_offset,county+date,,,0.9629918877176018,,,,1.0672816087249988,6.728160872499878
estimate,ok,direct_vs_clean,ALL,WLS_TWFE,fatals_per_100k,night_alert,-0.0009761344895570953,0.003473094529452617,0.7787211373750376,2334655.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,ALL,PPML_raw_count,fatals,night_alert,-0.02954874092591394,0.10959929442224921,0.7874625867272811,2315255.0,log_population_offset,county+date,,,0.9635012453660177,,,,0.9708835547245104,-2.911644527548962
estimate,ok,spillover_joint,ALL,WLS_TWFE,serious_per_100k,night_alert,-0.005012823362063372,0.026477304911312772,0.8498859592851529,1502791.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,ALL,WLS_TWFE,serious_per_100k,spillover_share_10pp,-0.017125967108276307,0.011110141582538143,0.12359799677082983,1502791.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,ALL,PPML_raw_count,serious_inj,night_alert,-0.00583874631758924,0.1807001124557613,0.9742233972090932,1502535.0,log_population_offset,county+date,,,0.883421580246355,,,,0.9941782660353164,-0.5821733964683551
estimate,ok,spillover_joint,ALL,PPML_raw_count,serious_inj,spillover_share_10pp,-0.14056584042246373,0.08489419273974691,0.09776701427495671,1502535.0,log_population_offset,county+date,,,0.883421580246355,,,,0.8688664565149224,-13.113354348507755
estimate,ok,direct_vs_clean,ALL,WLS_TWFE,serious_per_100k,night_alert,-0.035517535412687276,0.02330461738059125,0.1278904804413783,1494865.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,ALL,PPML_raw_count,serious_inj,night_alert,-0.2684521061534837,0.15410694096999422,0.0815109252835784,1494611.0,log_population_offset,county+date,,,0.8846225887503111,,,,0.7645620397499655,-23.54379602500345
estimate,ok,spillover_joint,CA,WLS_TWFE,crashes_per_100k,night_alert,0.0392869648300818,0.07442756854263893,0.5996489337036883,169476.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,CA,WLS_TWFE,crashes_per_100k,spillover_share_10pp,-0.06267419181076897,0.04372859711685592,0.15724777887545627,169476.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,CA,PPML_raw_count,crashes,night_alert,0.007744941104667522,0.020257103646831247,0.7022150429673439,169476.0,log_population_offset,county+date,,,0.13498666477849372,,,,1.0077750107400814,0.7775010740081356
estimate,ok,spillover_joint,CA,PPML_raw_count,crashes,spillover_share_10pp,-0.02370938212390743,0.01445670125757407,0.10099952828494807,169476.0,log_population_offset,county+date,,,0.13498666477849372,,,,0.9765694770692681,-2.343052293073189
estimate,ok,direct_vs_clean,CA,WLS_TWFE,crashes_per_100k,night_alert,-0.23328651006241016,0.2170651644672629,0.2870239475929708,166663.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,CA,PPML_raw_count,crashes,night_alert,-0.06203411353112971,0.06478729891609111,0.3383128063993639,166663.0,log_population_offset,county+date,,,0.13646700227405004,,,,0.9398508246138523,-6.014917538614773
estimate,ok,spillover_joint,CA,WLS_TWFE,fatals_per_100k,night_alert,-0.003648484326252984,0.0033227878982231133,0.2768128904930458,169476.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,CA,WLS_TWFE,fatals_per_100k,spillover_share_10pp,0.0010516928869978583,0.003216513370384076,0.7448907461887937,169476.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,CA,PPML_raw_count,fatals,night_alert,-0.10618358396237404,0.10574394154797682,0.31530264910637484,169476.0,log_population_offset,county+date,,,0.8662229460218556,,,,0.8992595432909324,-10.074045670906761
estimate,ok,spillover_joint,CA,PPML_raw_count,fatals,spillover_share_10pp,0.04575217344319423,0.10929133684156106,0.6754896302347211,169476.0,log_population_offset,county+date,,,0.8662229460218556,,,,1.0468149502629034,4.681495026290339
estimate,ok,direct_vs_clean,CA,WLS_TWFE,fatals_per_100k,night_alert,-0.02712898589737587,0.045190967979306294,0.5506732594914574,166663.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,direct_vs_clean,CA,PPML_raw_count,fatals,night_alert,-0.2988897244643074,0.5152527814557747,0.5618581954486286,166373.0,log_population_offset,county+date,,,0.8677930914480119,,,,0.7416411898052381,-25.835881019476194
estimate,ok,spillover_joint,DE,WLS_TWFE,crashes_per_100k,spillover_share_10pp,-3.3676932363497447,1.4232407634385942,0.14162566007692057,12051.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,DE,PPML_raw_count,crashes,spillover_share_10pp,-0.34623860979813975,0.12715557930051055,0.00647013486474135,12051.0,log_population_offset,county+date,,,0.0,,,,0.7073436878341529,-29.26563121658471
estimate,ok,spillover_joint,FL,WLS_TWFE,crashes_per_100k,night_alert,-1.0466709143101611,0.06671383554480091,0.0,122342.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FL,WLS_TWFE,fatals_per_100k,night_alert,-0.10376318416557025,0.006826132839551216,0.0,122342.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FL,WLS_TWFE,fatals_per_100k,spillover_share_10pp,0.04338530123127788,0.004401291863424152,1.3322676295501878e-14,122342.0,rate_per_100k_population_weighted,county+date,,,,,,,,
estimate,ok,spillover_joint,FL,PPML_raw_count,fatals,night_alert,-2.2064701382449554,0.09143414847499026,0.0,122141.0,log_population_offset,county+date,,,0.9060911216099132,,,,0.11008856087493102,-88.9911439125069
