state,county_days,counties,date_range,night_alert_days,mean_crashes_100k,mean_crashes_alert,mean_crashes_notalert,mean_fatals_100k,mean_serious_100k,raw_diff_crashes
CA,128459,58,2016-01-01 – 2022-12-31,86,4.370580879281065,2.9899959742421225,4.371505764590541,0.07680781485862125,2.2877996451476763,-1.3815097903484186
FL,44757,67,2013-01-01 – 2016-12-31,16,4.365953704468583,1.057944251162994,4.367136694371645,0.06760377723993732,0.39446393888578524,-3.309192443208651
IA,142190,99,2015-01-01 – 2022-12-31,44,8.495686396211267,6.607991335089537,8.49627071502917,0.08827915689999016,0.3188652048598091,-1.8882793799396325
IL,178138,102,2016-01-01 – 2022-12-31,116,7.91973213204526,7.5508422804122866,7.919972502464587,0.06965864804832855,0.4596364872749929,-0.3691302220523003
MA,37318,14,2013-01-01 – 2020-12-31,0,5.852761197171977,,5.852761197171977,0.01832383551938143,0.8254129339907926,
NV,22303,17,2016-01-01 – 2022-12-31,14,14.44020013578796,12.352762102056944,14.44151128175558,0.4342341726876748,0.8647936116287576,-2.0887491796986364
NY,43492,62,2021-01-01 – 2022-12-31,28,7.2531932764856935,8.715752499393272,7.2522510793054655,0.02666460384337412,0.0,1.4635014200878063
OR,34636,36,2019-01-01 – 2022-12-31,1,5.574126514102202,3.2275764128715747,5.57419426493521,0.11990347433260709,0.34904127243677574,-2.3466178520636354
VA,182006,133,2017-01-01 – 2022-12-31,0,6.6877098691577395,,6.6877098691577395,0.07170014989434341,0.6866792928173227,
WI,208524,72,2013-01-01 – 2022-12-31,78,7.742220324526375,6.266973328557068,7.742772358461714,0.047397469506715466,0.3248946789705776,-1.4757990299046462
