state,county_days,counties,direct_alert_days,spillover_only_days,crash_rows_available,fatal_rows_available,serious_rows_available
CA,169476,58,104,2813,169476,169476,0
CT,17536,8,0,0,17536,17536,17536
DE,12051,3,3,167,12051,0,0
FL,122342,67,53,978,122342,122342,122342
HI,7300,5,1,102,0,7300,0
IA,325413,99,99,936,325413,325413,325413
IDCOMPASS,8034,2,4,123,8034,8034,8034
IL,298044,102,156,1805,298044,298044,298044
INMPO,17528,8,0,295,0,17528,17528
MA,40908,14,0,677,40908,40908,0
MOCO,3287,1,2,128,3287,0,0
NC,109500,100,114,581,109500,109500,109500
NY,67890,62,43,739,67890,0,0
OR,65736,36,4,459,65736,65736,65736
TN,104025,95,0,333,104025,104025,104025
TX,371094,254,72,1973,371094,371094,371094
UT,63539,29,0,440,63539,63539,63539
VA,339948,133,50,1881,339948,339948,0
WI,289224,72,102,1596,289224,289224,0
