state,county_days,counties,direct_alert_days,spillover_only_days,mean_spillover_share,max_spillover_share,crash_rows_available,fatal_rows_available,serious_rows_available
CA,169476,58,104,2813,0.0001648229852284623,0.397694288867994,169476,169476,0
CT,17536,8,0,0,0.0,0.0,17536,17536,17536
DE,12051,3,3,167,6.835717257573435e-05,0.16460562657006844,12051,0,0
FL,122342,67,53,978,0.00010614923670030946,0.5537766944575243,122342,122342,122342
HI,7300,5,1,102,1.0957020928463254e-05,0.03571428571428571,0,7300,0
IA,325413,99,99,936,7.818673412833126e-05,0.5299113827724182,325413,325413,325413
IDCOMPASS,8034,2,4,123,9.526634004654528e-05,0.20715327148626506,8034,8034,8034
IL,298044,102,156,1805,0.00015782723139449377,0.5449308755760368,298044,298044,298044
INMPO,17528,8,0,295,5.907994943118232e-06,0.002136279926335175,0,17528,17528
MA,40908,14,0,677,8.393340223654902e-06,0.035648345405482174,40908,40908,0
MOCO,3287,1,2,128,0.00013461332160941418,0.21197071312732685,3287,0,0
NC,109500,100,114,581,0.0002999670742580182,0.47437196843553175,109500,109500,109500
NY,67890,62,43,739,0.00014725083522351828,0.3624566196559108,67890,0,0
OR,65736,36,4,459,2.282549843725334e-05,0.3521679134287167,65736,65736,65736
TN,104025,95,0,333,4.15890770845232e-06,0.04516016103623315,104025,104025,104025
TX,371094,254,72,1973,7.442089215077659e-05,0.4685299295774648,371094,371094,371094
UT,63539,29,0,440,2.2450182462507428e-05,0.1512669567443051,63539,63539,63539
VA,339948,133,50,1881,9.608165430901762e-05,0.7514763429384561,339948,339948,0
WI,289224,72,102,1596,0.00010435385501919036,0.45267439742577864,289224,289224,0
