hour,hours_since_wake,contrast_weight
6,0,-0.017543859649122806
7,1,-0.015479876160990712
8,2,-0.013415892672858616
9,3,-0.011351909184726523
10,4,-0.009287925696594427
11,5,-0.007223942208462332
12,6,-0.005159958720330237
13,7,-0.0030959752321981426
14,8,-0.0010319917440660474
15,9,0.0010319917440660474
16,10,0.0030959752321981426
17,11,0.005159958720330237
18,12,0.007223942208462332
19,13,0.009287925696594427
20,14,0.011351909184726523
21,15,0.013415892672858616
22,16,0.015479876160990712
23,17,0.017543859649122806
