draw,seed,outcome,own_coef,cross_coef,successful_edge_swaps,status,analysis_counties,excluded_no_self_loop_counties,exposure_spec
1,3373383951,fatal_crashes,-0.0025472038930789,0.0002625349611884,602689,ok,1668,9,year_matched_acs_and_lodes
1,3373383951,total_fatals,-0.0032452524560749,0.0003795433543541,602689,ok,1668,9,year_matched_acs_and_lodes
2,2715193214,fatal_crashes,-0.002576015202424,0.000310470694955,602848,ok,1668,9,year_matched_acs_and_lodes
2,2715193214,total_fatals,-0.0032780712818401,0.0004220722330069,602848,ok,1668,9,year_matched_acs_and_lodes
3,3562792977,fatal_crashes,-0.0027310008445517,0.0008669857642666,602751,ok,1668,9,year_matched_acs_and_lodes
3,3562792977,total_fatals,-0.0035004826126904,0.001218085456033,602751,ok,1668,9,year_matched_acs_and_lodes
4,2501418362,fatal_crashes,-0.0027244422629848,0.0006906647640571,602720,ok,1668,9,year_matched_acs_and_lodes
4,2501418362,total_fatals,-0.0034390566387061,0.0008266176431111,602720,ok,1668,9,year_matched_acs_and_lodes
5,3383362091,fatal_crashes,-0.0027202907364833,0.0008152565371113,602721,ok,1668,9,year_matched_acs_and_lodes
5,3383362091,total_fatals,-0.0034841811975329,0.0011412636557554,602721,ok,1668,9,year_matched_acs_and_lodes
6,1521376190,fatal_crashes,-0.0026013361118844,0.0003690784193467,602715,ok,1668,9,year_matched_acs_and_lodes
6,1521376190,total_fatals,-0.0033354059804582,0.0005679347562932,602715,ok,1668,9,year_matched_acs_and_lodes
7,4041798847,fatal_crashes,-0.0026961882946701,0.0006808596673195,602810,ok,1668,9,year_matched_acs_and_lodes
7,4041798847,total_fatals,-0.0034605343664854,0.0009839952246066,602810,ok,1668,9,year_matched_acs_and_lodes
8,1248143049,fatal_crashes,-0.0026344657198189,0.0005286376208611,602774,ok,1668,9,year_matched_acs_and_lodes
8,1248143049,total_fatals,-0.0034039298407538,0.0008711078012874,602774,ok,1668,9,year_matched_acs_and_lodes
9,136758263,fatal_crashes,-0.0027468749665005,0.0007141975544092,602758,ok,1668,9,year_matched_acs_and_lodes
9,136758263,total_fatals,-0.0035009443426146,0.0009463481507707,602758,ok,1668,9,year_matched_acs_and_lodes
10,581195402,fatal_crashes,-0.0026159460022272,0.0004530838498759,602765,ok,1668,9,year_matched_acs_and_lodes
10,581195402,total_fatals,-0.0033448344365014,0.0006556615450981,602765,ok,1668,9,year_matched_acs_and_lodes
11,1570088054,fatal_crashes,-0.0026714989138842,0.0006184225893615,602724,ok,1668,9,year_matched_acs_and_lodes
11,1570088054,total_fatals,-0.0034307304320816,0.0009121248526318,602724,ok,1668,9,year_matched_acs_and_lodes
12,23563943,fatal_crashes,-0.0027407210115518,0.0009118675474877,602751,ok,1668,9,year_matched_acs_and_lodes
12,23563943,total_fatals,-0.0034535434505535,0.0010743086307072,602751,ok,1668,9,year_matched_acs_and_lodes
13,2335899228,fatal_crashes,-0.0027878261021137,0.0011754814415317,602829,ok,1668,9,year_matched_acs_and_lodes
13,2335899228,total_fatals,-0.0035434921155902,0.0015137537182309,602829,ok,1668,9,year_matched_acs_and_lodes
14,863796111,fatal_crashes,-0.0029110688774602,0.0012696680945373,602816,ok,1668,9,year_matched_acs_and_lodes
14,863796111,total_fatals,-0.0037036209792203,0.0016391660902245,602816,ok,1668,9,year_matched_acs_and_lodes
15,3438264188,fatal_crashes,-0.002715274714146,0.0008470295136872,602692,ok,1668,9,year_matched_acs_and_lodes
15,3438264188,total_fatals,-0.0034602414705232,0.0011264542212847,602692,ok,1668,9,year_matched_acs_and_lodes
16,1815610121,fatal_crashes,-0.0026426700534335,0.0005966854616832,602723,ok,1668,9,year_matched_acs_and_lodes
16,1815610121,total_fatals,-0.0034181091370642,0.000985568029818,602723,ok,1668,9,year_matched_acs_and_lodes
17,2461191534,fatal_crashes,-0.0026581120417221,0.0005844038729112,602745,ok,1668,9,year_matched_acs_and_lodes
17,2461191534,total_fatals,-0.0033774456325498,0.0007557333965892,602745,ok,1668,9,year_matched_acs_and_lodes
18,223893290,fatal_crashes,-0.0026964781236751,0.0007127603235364,602772,ok,1668,9,year_matched_acs_and_lodes
18,223893290,total_fatals,-0.0034252458369499,0.0009159207345897,602772,ok,1668,9,year_matched_acs_and_lodes
19,3100460800,fatal_crashes,-0.0026385417911762,0.0005548289656649,602804,ok,1668,9,year_matched_acs_and_lodes
19,3100460800,total_fatals,-0.0034076973590418,0.0009043480145706,602804,ok,1668,9,year_matched_acs_and_lodes
