record_type,status,model,outcome,term,beta,se,pvalue,pct_change,n_obs,cluster,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason
estimate,ok,station_day_TWFE,total_volume,night_alert_ct,0.006981827320001821,0.01464483535961324,0.6335901079953099,0.7006257098101099,26505812.0,county+date,,,,,,
estimate,ok,station_day_TWFE,total_volume,spillover_share_10pp,0.0014604368318559204,0.004682311333029201,0.7551408486419215,0.14615037890703952,26505812.0,county+date,,,,,,
fit_status,ok,station_day_TWFE,total_volume,,,,,,,,26505816.0,26505812.0,0.000522346833126187,night_alert_ct|spillover_share_10pp,night_alert_ct|spillover_share_10pp,
estimate,ok,station_day_TWFE,vol_05_10,night_alert_ct,0.010719936367489564,0.015438992892461771,0.487537928270648,1.077760075399814,26498581.0,county+date,,,,,,
estimate,ok,station_day_TWFE,vol_05_10,spillover_share_10pp,-0.002638209064114133,0.005378697753942508,0.6238323652638615,-0.26347320489509274,26498581.0,county+date,,,,,,
fit_status,ok,station_day_TWFE,vol_05_10,,,,,,,,26498585.0,26498581.0,0.000794087093802737,night_alert_ct|spillover_share_10pp,night_alert_ct|spillover_share_10pp,
estimate,ok,station_day_TWFE,vol_07_10,night_alert_ct,0.009129755435504346,0.015778271860541933,0.5628965022371548,0.9171558773897637,26497072.0,county+date,,,,,,
estimate,ok,station_day_TWFE,vol_07_10,spillover_share_10pp,-0.0031357124787601666,0.005469124740838241,0.5664649295007949,-0.31308012671090735,26497072.0,county+date,,,,,,
fit_status,ok,station_day_TWFE,vol_07_10,,,,,,,,26497076.0,26497072.0,0.0008506684222116712,night_alert_ct|spillover_share_10pp,night_alert_ct|spillover_share_10pp,
estimate,ok,station_day_TWFE,vol_10_16,night_alert_ct,0.008810580687861874,0.01501614809528228,0.5574355307655441,0.8849508094254332,26501176.0,county+date,,,,,,
estimate,ok,station_day_TWFE,vol_10_16,spillover_share_10pp,0.0007756968065572917,0.004612452956843331,0.8664607833202225,0.07759977371304405,26501176.0,county+date,,,,,,
fit_status,ok,station_day_TWFE,vol_10_16,,,,,,,,26501180.0,26501176.0,0.0006961751659003894,night_alert_ct|spillover_share_10pp,night_alert_ct|spillover_share_10pp,
estimate,ok,station_day_TWFE,vol_16_19,night_alert_ct,0.008215856899045316,0.015681966971668723,0.6003951635189684,0.8249699670303201,26498053.0,county+date,,,,,,
estimate,ok,station_day_TWFE,vol_16_19,spillover_share_10pp,0.0008576757170856151,0.004681811498022963,0.8546625938946906,0.08580436260781088,26498053.0,county+date,,,,,,
fit_status,ok,station_day_TWFE,vol_16_19,,,,,,,,26498057.0,26498053.0,0.0008141341207555713,night_alert_ct|spillover_share_10pp,night_alert_ct|spillover_share_10pp,
